hops,mix_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
1,0.0001,0,0.9767103347889374,0.9687083324958448,0.07231669344736714,566.938864628821,0.12566809079726227,1.5001253325781572,0.029824393004045435,0.00010307764064044152,0.0,0.00010307764064044152,289.33911194261583,0.003456152171360533
1,0.0001,1,0.9772146187396601,0.9690803676967884,0.06914396188810529,556.512107083772,0.12771265013725497,1.516256769733421,0.03083763315242684,0.00010307764064044152,0.0,0.00010307764064044152,299.16898525059946,0.003342592478837163
1,0.0001,2,0.9759659263766353,0.9671955048445755,0.07551970078168521,562.849710982659,0.12550200734403916,1.49434098789939,0.028616668958729847,0.00010307764064044152,0.0,0.00010307764064044152,277.6224676945348,0.0036020139447081414
1,0.0001,3,0.9718245853215178,0.9625648475555962,0.08608216482946612,560.5092024539878,0.1240659362229053,1.489741629405072,0.03086340217019357,0.00010307764064044152,0.0,0.00010307764064044152,299.41898144382446,0.0033398016223885095
1,0.0001,4,0.9735998779185107,0.9655684915413607,0.07747704516822132,564.6502365328857,0.1258844496915117,1.4929952335202055,0.03056869320735188,0.00010307764064044152,0.0,0.00010307764064044152,296.55988454355975,0.003372000233744077
1,0.0001,5,0.9761813878922055,0.9636940303116318,0.0827359065668872,564.9514466753187,0.12808455008780584,1.504445882910611,0.031516679334403365,0.00010307764064044152,0.0,0.00010307764064044152,305.7567008575679,0.003270574274235889
1,0.0001,6,0.9809245442658258,0.9739155715242448,0.06043108954956501,569.2024459656949,0.12552234885515645,1.5047814213629072,0.031001888938065863,0.00010307764064044152,0.0,0.00010307764064044152,300.76250043603125,0.0033248825852632805
1,0.0001,7,0.9765182805568303,0.9682585704265478,0.07231828748702945,566.0298301973382,0.1289089942292776,1.520279688343007,0.031028441249973244,0.00010307764064044152,0.0,0.00010307764064044152,301.0200956986159,0.0033220373466401705
1,0.0001,8,0.9762663026994237,0.9674888311764845,0.07511171367721449,561.1455868971792,0.126170510367956,1.5003403150732315,0.031052284272110046,0.00010307764064044152,0.0,0.00010307764064044152,301.251406989684,0.0033194865710095877
1,0.0001,9,0.9788656624654165,0.9696827145902505,0.07070671213215068,568.7221026744544,0.12506213065353222,1.4993665765250426,0.030787315866928993,0.00010307764064044152,0.0,0.00010307764064044152,298.68083587906534,0.003348055448742938
1,0.0001,10,0.9750284629981024,0.9679536466887363,0.07077276486905716,561.6982922201139,0.1257630527834408,1.5018219568714775,0.030099427646158392,0.00010307764064044152,0.0,0.00010307764064044152,292.0073398958762,0.0034245714520620587
1,0.0001,11,0.9764607297935552,0.9656586098180173,0.07814623568734837,563.7485335567914,0.12416030871099792,1.4932002616402318,0.03029975491860256,0.00010307764064044152,0.0,0.00010307764064044152,293.950799905239,0.003401929847860153
1,0.0001,12,0.9775058895052816,0.9685080570904953,0.07382634425107035,562.3800440762976,0.12622861078125425,1.494294311501709,0.031182085205291907,0.00010307764064044152,0.0,0.00010307764064044152,302.5106610080665,0.003305668622281496
1,0.0001,13,0.9768969422423556,0.9686442627255006,0.07288241161174719,558.7349943374859,0.12503950754762627,1.5023404299014032,0.028817294911647185,0.00010307764064044152,0.0,0.00010307764064044152,279.5688253301075,0.0035769367304069985
