measure,series_col,x_col,N,T,f,paired,stake_draws,table_hash,series_val,x_val,rep,theory,sim,theory_sem
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,64,,1.3333333333333333,0.01,-1,0.904768557343682,,0.02317165387582
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,64,,1.3333333333333333,0.025,-1,0.8488141694856801,,0.0289633796832275
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,64,,1.3333333333333333,0.05,-1,0.7628713070101302,,0.0364314453763954
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,64,,1.3333333333333333,0.075,-1,0.6870426948644204,,0.0415666953725041
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,64,,1.3333333333333333,0.1,-1,0.6210900770112866,,0.0445496918569861
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,64,,1.3333333333333333,0.125,-1,0.5634878634659257,,0.0461279536633397
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,64,,1.3333333333333333,0.15,-1,0.5137213120401081,,0.0469479403761798
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,64,,3.0,0.01,-1,0.1260248740701113,,0.0279051683831655
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,64,,3.0,0.025,-1,0.0551092927379451,,0.0183115494584461
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,64,,3.0,0.05,-1,0.027020845823588,,0.0116748540995257
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,64,,3.0,0.075,-1,0.0164113991006335,,0.0072053057038917
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,64,,3.0,0.1,-1,0.011218988579809,,0.0046326297258088
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,64,,3.0,0.125,-1,0.0083449610842308,,0.0031542667289291
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,64,,3.0,0.15,-1,0.0065970380102462,,0.0022595253173588
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,1.3333333333333333,0.01,-1,0.8864776193549235,,0.0093659639797912
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,1.3333333333333333,0.025,-1,0.8223364120313704,,0.0121538689196164
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,1.3333333333333333,0.05,-1,0.7323297701217726,,0.0152268343226525
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,1.3333333333333333,0.075,-1,0.6573589196190431,,0.0170298180262613
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,1.3333333333333333,0.1,-1,0.5952606607012281,,0.0180804814733862
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,1.3333333333333333,0.125,-1,0.5435454606417313,,0.0186935891378808
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,1.3333333333333333,0.15,-1,0.5000601045563646,,0.0190464714518128
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,1.3333333333333333,0.175,-1,0.4630618076800434,,0.0192341301688541
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,1.3333333333333333,0.2,-1,0.4311628622091621,,0.019307974810894
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,3.0,0.01,-1,0.1150263269954656,,0.0098693105981132
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,3.0,0.025,-1,0.0414026627735012,,0.0049860398234258
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,3.0,0.05,-1,0.0172122974154341,,0.0024109015689646
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,3.0,0.075,-1,0.0103006909846936,,0.0013920149277414
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,3.0,0.1,-1,0.00728706537769,,0.0008817227286992
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,3.0,0.125,-1,0.0056707006010629,,0.0006009740996335
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,3.0,0.15,-1,0.00468503339086,,0.000433765315712
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,3.0,0.175,-1,0.0040286387196693,,0.0003273246702048
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,400,,3.0,0.2,-1,0.0035626246375011,,0.0002557655599753
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.01,-1,0.0154124377528287,,0.0004215551571928
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.025,-1,0.0098780184372322,,0.0002489779378042
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.05,-1,0.0069919275760515,,0.0001599783870347
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.075,-1,0.0056870422162833,,0.0001186180299515
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.1,-1,0.0048723797891703,,9.491008376891148e-05
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.125,-1,0.0043062016784723,,7.634748011310428e-05
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.15,-1,0.0038884729290408,,6.61240644885952e-05
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.175,-1,0.0035589019885068,,5.822503164657656e-05
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.2,-1,0.003291668930603,,5.087001096362669e-05
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,3.0,0.01,-1,0.0166568343824787,,1.7337523105096657e-05
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,3.0,0.025,-1,0.0105043630657485,,1.4963377211596056e-05
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,3.0,0.05,-1,0.0073907583173436,,9.9821615547431e-06
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,3.0,0.075,-1,0.0059656876439834,,1.0477843419175415e-05
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,3.0,0.1,-1,0.0050226754227832,,1.0712177928580115e-05
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,3.0,0.125,-1,0.0044102922882839,,7.992229170345733e-06
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,3.0,0.15,-1,0.0040270118959232,,8.803431685836243e-06
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,3.0,0.175,-1,0.0037130053841646,,6.795164812789649e-06
stake_confidence,shape,p_s,1000,388800,0.0333333333333333,False,32,,3.0,0.2,-1,0.0033823722001721,,8.408653238006246e-06
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.01,-1,0.8801849798938558,,0.0373489483779645
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.025,-1,0.8183139824268089,,0.0465254117751022
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.05,-1,0.7240011287081514,,0.0575650053894347
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.075,-1,0.643293172612186,,0.0646460017690513
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.1,-1,0.5744285331393504,,0.0673022758410148
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.125,-1,0.5128602794881794,,0.067141733607652
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.15,-1,0.4582632788709622,,0.0658532842091251
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.175,-1,0.4110581259567896,,0.064443298992084
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,32,,1.3333333333333333,0.2,-1,0.3710267658860268,,0.0633019566153871
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,32,,3.0,0.01,-1,0.1251608091899761,,0.0437101335599862
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,32,,3.0,0.025,-1,0.0600308831899422,,0.0316004733434636
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,32,,3.0,0.05,-1,0.0337776380837229,,0.0222767046692281
stake_top1_hit,shape,p_s,1000,388800,0.0333333333333333,False,32,,3.0,0.075,-1,0.0210852410192698,,0.0139699516865141
