p_s,shape,rep,stake_top1_hit,stake_top_jaccard,stake_confidence,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.01,1.3333333333333333,0,0.88,0.13708647647826339,0.004826666666666667,885.5583012894365,,,,,,,,
0.01,1.3333333333333333,1,0.96,0.1387853449456347,0.00508,887.4639183360626,,,,,,,,
0.01,1.3333333333333333,2,1.0,0.13956353479304337,0.0047866666666666665,886.1228497226276,,,,,,,,
0.01,1.3333333333333333,3,0.72,0.11224872710870726,0.005306666666666666,885.011740369669,,,,,,,,
0.01,1.3333333333333333,4,1.0,0.1362808462963846,0.0044933333333333336,886.7172407480305,,,,,,,,
0.01,1.3333333333333333,5,1.0,0.12532000888493675,0.004893333333333334,886.7354033321411,,,,,,,,
0.01,1.3333333333333333,6,1.0,0.1413816608844356,0.005266666666666667,886.2042548009465,,,,,,,,
0.01,1.3333333333333333,7,1.0,0.10880258260993118,0.004653333333333334,888.8288065883504,,,,,,,,
0.01,1.3333333333333333,8,0.52,0.1334055102919773,0.005026666666666666,885.6929517818996,,,,,,,,
0.01,1.3333333333333333,9,1.0,0.07356474722224816,0.003946666666666667,889.0882363935896,,,,,,,,
0.01,1.3333333333333333,10,1.0,0.16283404856862918,0.005813333333333333,885.105915520827,,,,,,,,
0.01,1.3333333333333333,11,1.0,0.13695367057409233,0.005413333333333333,882.6596254199907,,,,,,,,
0.01,1.3333333333333333,12,1.0,0.10348153887379309,0.004920000000000001,885.5137582173636,,,,,,,,
0.01,1.3333333333333333,13,0.94,0.10371731986429106,0.004853333333333334,882.7877808648024,,,,,,,,
0.01,1.3333333333333333,14,1.0,0.10944379594417565,0.00468,886.6335003631012,,,,,,,,
0.01,1.3333333333333333,15,1.0,0.1405781351111936,0.005013333333333333,885.9350844834806,,,,,,,,
0.01,1.3333333333333333,16,0.72,0.06833709948047516,0.005,886.1918239108671,,,,,,,,
0.01,1.3333333333333333,17,0.52,0.08802320266073989,0.0052,886.8260001092345,,,,,,,,
0.01,1.3333333333333333,18,0.48,0.10047705797457535,0.00536,885.776097428224,,,,,,,,
0.01,1.3333333333333333,19,0.64,0.11249416147132135,0.005173333333333333,886.3481701477872,,,,,,,,
0.01,1.3333333333333333,20,1.0,0.13031277831975469,0.005946666666666667,885.635499393585,,,,,,,,
0.01,1.3333333333333333,21,0.96,0.12419561940094682,0.004933333333333334,887.4991885504423,,,,,,,,
0.01,1.3333333333333333,22,1.0,0.0725115819852662,0.004706666666666667,885.3610567929244,,,,,,,,
0.01,1.3333333333333333,23,0.92,0.10363933373993063,0.00452,887.0413013842901,,,,,,,,
0.01,1.3333333333333333,24,0.8,0.14072793306089643,0.0051333333333333335,886.6794279939454,,,,,,,,
0.01,1.3333333333333333,25,0.36,0.1269391479158405,0.00548,885.9837919844135,,,,,,,,
0.01,1.3333333333333333,26,0.6,0.05946605358029886,0.0047866666666666665,888.1877983938076,,,,,,,,
0.01,1.3333333333333333,27,0.92,0.12534655626775495,0.004640000000000001,886.6349029598231,,,,,,,,
0.01,1.3333333333333333,28,1.0,0.11427159971934783,0.005520000000000001,887.7077881234388,,,,,,,,
0.01,1.3333333333333333,29,1.0,0.1314254658189968,0.004853333333333333,883.8627750438205,,,,,,,,
0.01,1.3333333333333333,30,0.92,0.15408724974794422,0.004693333333333333,886.9773334915984,,,,,,,,
0.01,1.3333333333333333,31,0.66,0.09881753139774574,0.0054533333333333335,882.8887929737664,,,,,,,,
0.01,1.3333333333333333,32,1.0,0.11512376881966226,0.0048400000000000006,885.8163338628488,,,,,,,,
