mix_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,eta,inv_eta
0.0001,0,0.780663449015552,0.7283821656687544,0.6524190482267335,566.938864628821,0.25010017296881415,1.9953316819754514,0.022582764145876844,0.00017500000000000003,129.04436654786767,0.007749272802459458
0.0001,1,0.837945555722665,0.7917692033623579,0.48856851646753297,556.512107083772,0.24129085245658644,1.9753774267590987,0.023754026226165126,0.00017500000000000003,135.73729272094354,0.007367172130476014
0.0001,2,0.8430940066930331,0.8004275583809101,0.46704980892741416,562.849710982659,0.2819539350166451,2.1105908959381185,0.020129770993478173,0.00017500000000000003,115.02726281987526,0.008693591201643482
0.0001,3,0.8075437400590775,0.7610546047970168,0.5634180872398267,560.5092024539878,0.24283074773848057,1.9585574387914821,0.022377400580861677,0.00017500000000000003,127.8708604620667,0.00782039001212988
0.0001,4,0.8316801464977873,0.7895722737501529,0.48703560209023744,564.6502365328857,0.3003082676732447,2.1760828673631054,0.021921132473415688,0.00017500000000000003,125.26361413380391,0.0079831642006738
0.0001,5,0.8305214138483854,0.7877788896277637,0.4906542151573889,564.9514466753187,0.25568484581890516,2.0069845871930845,0.02234126511404465,0.00017500000000000003,127.66437208025513,0.007833038957582923
0.0001,6,0.7956311052995924,0.7447705663073646,0.6057364407407441,569.2024459656949,0.24262255459325388,1.9756936440346986,0.022134228319585322,0.00017500000000000003,126.48130468334467,0.007906306805607154
0.0001,7,0.7848401407373413,0.7302751509265666,0.650011074160667,566.0298301973382,0.24612029260606505,1.9933472051160444,0.023368676121282905,0.00017500000000000003,133.53529212161658,0.007488656999299145
0.0001,8,0.8238550197148923,0.779827824796159,0.5159472502401652,561.1455868971792,0.24466072020004503,1.9702237192663694,0.02177050656956625,0.00017500000000000003,124.4028946832357,0.008038398162247572
0.0001,9,0.8348447586842914,0.7968180518049737,0.47033463193017466,568.7221026744544,0.2643642212788109,2.055592571834854,0.021608887466842218,0.00017500000000000003,123.47935695338408,0.008098519660881615
0.0001,10,0.8094117647058824,0.7596379506440339,0.5680239664748845,561.6982922201139,0.24806791011360474,1.9898449610998783,0.021654535508035283,0.00017500000000000003,123.74020290305874,0.008081447876592103
0.0001,11,0.7628551839719662,0.7028694904513058,0.7159512418470413,563.7485335567914,0.22836244851350784,1.9071209674407772,0.021448192362795993,0.00017500000000000003,122.56109921597708,0.008159195751319109
0.0001,12,0.7981609544798237,0.746441185510642,0.6007385603181737,562.3800440762976,0.21870255927206017,1.8564098922579504,0.02299415002034983,0.00017500000000000003,131.3951429734276,0.007610631392990172
0.0001,13,0.7992449981124953,0.7496996786610169,0.5891927611360032,558.7349943374859,0.23888859554426745,1.9597238675827449,0.02222101788204351,0.00017500000000000003,126.97724504024862,0.007875426811181996
0.0001,14,0.7826218589161369,0.7302409375325074,0.6472363591136118,560.1280653950954,0.22100637009134516,1.8834094124187337,0.021633297196721413,0.00017500000000000003,123.61884112412234,0.008089381771472256
0.0001,15,0.8051977745598659,0.7589959352491474,0.5761102147610301,564.0058684551483,0.24938485433813184,1.9752520530691267,0.02158749097880583,0.00017500000000000003,123.35709130746186,0.008106546526032671
0.0001,16,0.816916653780733,0.7735857361491961,0.5340311970588748,572.1458172259162,0.2443572840129491,1.9690143190706055,0.02302078089224393,0.00017500000000000003,131.547319384251,0.007601827271591831
0.0001,17,0.825187244228245,0.7799413403079158,0.5245893325519582,571.3961084086171,0.24763281020568684,1.987233432706687,0.021573973798472805,0.00017500000000000003,123.27985027698745,0.008111625685407482
0.0001,18,0.8603565689800291,0.8222518819316635,0.41691686205413886,566.2460019894406,0.25753564265323803,2.0370590496412424,0.022232764846940582,0.00017500000000000003,127.04437055394617,0.007871265728971245
0.0001,19,0.8501556922609554,0.8116486046674379,0.437521366482074,562.038961038961,0.26809245836921036,2.0588899892729264,0.023179036804625838,0.00017500000000000003,132.4516388835762,0.00754992545527497
0.0001,20,0.8409631163254352,0.8013352986691478,0.46580857484173505,567.4596273291926,0.24244663264835253,1.9613613451125151,0.022747608007111515,0.00017500000000000003,129.98633146920864,0.007693116566158969
0.0001,21,0.8107679528807672,0.7633382492295008,0.5599491560534752,558.8192252510761,0.22308000913471915,1.8789228029208918,0.024166843965867442,0.00017500000000000003,138.09625123352822,0.007241326184220207
0.0001,22,0.8241993426584117,0.7756738291489859,0.5312866327059897,565.641137353818,0.25768128284835257,1.998687751803839,0.021082988810797114,0.00017500000000000003,120.4742217759835,0.0083005308958082
0.0001,23,0.8129864184343049,0.763062043274154,0.5589862659936198,564.6502365328857,0.2620023274794221,2.03897076865246,0.02307272994345108,0.00017500000000000003,131.84417110543473,0.007584711493997774
0.0001,24,0.8202115158636898,0.7755037156088151,0.5294533917143784,579.7074030552292,0.2943121097050607,2.1803300185181476,0.021860126106483156,0.00017500000000000003,124.91500632276087,0.008005443296509597
0.0001,25,0.8386631219141664,0.8019720932745065,0.4579731605372531,562.1241929358147,0.2600077133101877,2.028226074706974,0.022751538966225754,0.00017500000000000003,130.00879409271857,0.007691787366990178
0.0001,26,0.8125281658404687,0.7637283669149535,0.556613553004974,555.8445245606129,0.2424369597574696,1.9712075868356946,0.02148302981542494,0.00017500000000000003,122.76017037385678,0.008145964582442138
0.0001,27,0.807483772432226,0.7594133246984232,0.5613520264320158,565.1237113402062,0.24659903021529317,1.9702290523699628,0.021755310997840987,0.00017500000000000003,124.31606284480561,0.008044012793812378
0.0001,28,0.8110218314129776,0.7656597098137551,0.5537634652707205,560.9757428744693,0.23818346226471476,1.9370540446949525,0.02391070601115212,0.00017500000000000003,136.6326057780121,0.007318897230319288
0.0001,29,0.791672963578661,0.7444473749948808,0.6071536088740814,559.1985794166541,0.2510802730976138,1.999082684380245,0.022520096291938685,0.00017500000000000003,128.6862645253639,0.007770837110614096
0.0001,30,0.8392570511350608,0.7926411680339368,0.48737040311290614,565.641137353818,0.24640143892611377,1.9797829918161924,0.02220241249719663,0.00017500000000000003,126.8709285554093,0.0078820263348452
0.0001,31,0.8131540753189214,0.758614354143604,0.5783706738419122,565.2960812772134,0.25228756849537604,2.0147310980381468,0.02351155683399053,0.00017500000000000003,134.35175333708872,0.007443148117992913
0.0001,32,0.8292608662556139,0.7887561363038154,0.4848203045919405,563.3201644211007,0.27068645815597847,2.0748964906898593,0.020995283631440046,0.00017500000000000003,119.97304932251453,0.008335205328588216
0.0001,33,0.8048780487804879,0.7578835007388096,0.5705846334749705,560.5515830934706,0.2382754416903481,1.9643566342206271,0.023428637481669175,0.00017500000000000003,133.87792846668097,0.007469491136090264
