shape,epochs,years,cum_top1_quenched,cum_top1_naive,p_mean,p_sem,p_s,theory_draws
1.3333333333333333,1,0.012320328542094456,0.6159398729279467,0.6159398729279467,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,2,0.024640657084188913,0.7232840716243232,0.8524978187933983,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,3,0.03696098562628337,0.7803775871028285,0.9433502935423875,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,4,0.049281314168377825,0.8170543027649336,0.9782431065392948,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,5,0.06160164271047228,0.8430031607031737,0.9916440447327884,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,6,0.07392197125256673,0.8624857106820968,0.9967908107582664,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,7,0.08624229979466119,0.877720127814889,0.9987674783720215,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,8,0.09856262833675565,0.8899951341890815,0.9995266375869395,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,9,0.11088295687885011,0.9001186197113779,0.9998182003714888,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,10,0.12320328542094457,0.9086256508897916,0.9999301780115724,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,11,0.13552361396303902,0.9158856179453013,0.9999731841582521,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,12,0.14784394250513347,0.922162027693171,0.9999897011044108,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,13,0.16016427104722794,0.9276479826952271,0.9999960446048513,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,14,0.17248459958932238,0.9324882599469194,0.9999984808904365,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,15,0.18480492813141686,0.9367935780892901,0.999999416570588,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,16,0.1971252566735113,0.9406501036735417,0.9999997759280259,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,17,0.20944558521560575,0.9441259497252577,0.9999999139428891,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,18,0.22176591375770022,0.9472757173420632,0.999999966948895,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,19,0.23408624229979466,0.9501437319609433,0.9999999873063884,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,20,0.24640657084188913,0.9527663900704272,0.9999999951248899,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,21,0.2587268993839836,0.9551738881164277,0.9999999981276646,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,22,0.27104722792607805,0.957391514956993,0.9999999992809107,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,23,0.2833675564681725,0.9594406311473826,0.9999999997238265,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,24,0.29568788501026694,0.961339420262165,0.9999999998939327,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,25,0.3080082135523614,0.9631034720459786,0.9999999999592638,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,26,0.3203285420944559,0.9647462399433407,0.9999999999843548,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,27,0.3326488706365503,0.9662794036875082,0.9999999999939914,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,28,0.34496919917864477,0.967713159343246,0.9999999999976923,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,29,0.35728952772073924,0.9690564533412689,0.9999999999991137,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,30,0.3696098562628337,0.9703171728514467,0.9999999999996596,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,31,0.38193018480492813,0.9715023018092145,0.9999999999998692,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,32,0.3942505133470226,0.9726180496912005,0.9999999999999498,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,33,0.4065708418891171,0.9736699584965087,0.9999999999999807,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,34,0.4188911704312115,0.974662992166433,0.9999999999999926,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,35,0.43121149897330596,0.9756016117535468,0.9999999999999971,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,37,0.4558521560574949,0.9773313100516356,0.9999999999999996,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,38,0.4681724845995893,0.9781293220060745,0.9999999999999999,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,39,0.4804928131416838,0.9788868718966682,0.9999999999999999,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,41,0.5051334702258727,0.9802912737980896,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,42,0.5174537987679672,0.9809429041950846,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,43,0.5297741273100616,0.9815636769822222,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,45,0.5544147843942505,0.9827201990411768,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,46,0.566735112936345,0.9832593568516717,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,48,0.5913757700205339,0.9842670339126188,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,50,0.6160164271047228,0.9851893482041806,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,51,0.6283367556468172,0.9856214525546955,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,53,0.6529774127310062,0.9864327667525552,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,55,0.6776180698151951,0.9871797014533554,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,57,0.702258726899384,0.9878688076315081,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,59,0.7268993839835729,0.9885058234431204,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,61,0.7515400410677618,0.9890957946505657,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,63,0.7761806981519508,0.9896431740548005,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,65,0.8008213552361396,0.9901519041609074,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,67,0.8254620123203286,0.9906254863423912,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,70,0.8624229979466119,0.9912766864414493,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,72,0.8870636550308009,0.9916753237706545,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,74,0.9117043121149898,0.9920483579071429,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,77,0.9486652977412732,0.9925644839219026,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,80,0.9856262833675565,0.993034016421279,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,82,1.0102669404517455,0.993323850414653,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,85,1.0472279260780288,0.9937273473968284,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,88,1.0841889117043122,0.9940970435122493,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,91,1.1211498973305956,0.9944365976904155,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,94,1.158110882956879,0.9947491938375664,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,97,1.1950718685831623,0.9950376118078781,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,101,1.2443531827515402,0.9953887234881323,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,104,1.2813141683778235,0.9956296893348239,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,108,1.3305954825462012,0.9959245939830645,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,111,1.3675564681724846,0.9961280173237196,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,115,1.4168377823408624,0.9963781677965595,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,119,1.4661190965092403,0.9966067874786422,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,123,1.5154004106776182,0.9968163013706292,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,127,1.5646817248459959,0.9970088013160125,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,132,1.6262833675564683,0.997228236932737,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,136,1.675564681724846,0.997388721171119,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,141,1.7371663244353184,0.9975726768406762,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,146,1.7987679671457906,0.9977402044634208,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,151,1.860369609856263,0.9978932109087117,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,156,1.9219712525667352,0.9980333283847932,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,161,1.9835728952772074,0.9981619605736355,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,167,2.0574948665297743,0.9983028543739547,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,173,2.131416837782341,0.9984307422011892,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,178,2.193018480492813,0.998528485964825,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,185,2.2792607802874745,0.9986533678964961,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,191,2.353182751540041,0.9987505198161598,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,197,2.427104722792608,0.9988395640471439,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,204,2.513347022587269,0.9989343072985993,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
1.3333333333333333,211,2.5995893223819304,0.9990202855274228,1.0,0.6159398729279467,0.01137291036891324,0.1,1000
