hops,mix_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
1,0.0001,0,0.9793917107178426,0.9734746438256799,0.06008193245889848,566.938864628821,0.12708061310695484,1.5057467929300037,0.031121182208483183,0.00010307764064044152,0.0,0.00010307764064044152,301.9198151521629,0.0033121376929037116
1,0.0001,1,0.9799217927507896,0.9734223919466706,0.05978885935347646,556.512107083772,0.12637383938999847,1.5108448539136474,0.031458197152078406,0.00010307764064044152,0.0,0.00010307764064044152,305.189340351821,0.003276654416721122
1,0.0001,2,0.9793885001521144,0.9705322202946772,0.06814933369930364,562.849710982659,0.12548347510164604,1.4942679910827934,0.028270555821084217,0.00010307764064044152,0.0,0.00010307764064044152,274.26467704764804,0.003646112983868753
1,0.0001,3,0.9786412179050216,0.9694142295879841,0.07142015655974046,560.5092024539878,0.12415161507669836,1.490079840704157,0.03129476280730564,0.00010307764064044152,0.0,0.00010307764064044152,303.6037943133464,0.003293766477002294
1,0.0001,4,0.9784831374942774,0.9707670078819804,0.06612029947331316,564.6502365328857,0.1257074738969095,1.4923021517027042,0.03129399131946792,0.00010307764064044152,0.0,0.00010307764064044152,303.5963097819492,0.0032938476779188334
1,0.0001,5,0.9801511565768379,0.9718842152464945,0.06380701925865762,564.9514466753187,0.1263275008823257,1.497525951996475,0.03212065693657727,0.00010307764064044152,0.0,0.00010307764064044152,311.6161442676157,0.003209076353698802
1,0.0001,6,0.9696177217137143,0.9594534036437827,0.09093623991433296,569.2024459656949,0.1262837501708418,1.507843356085008,0.030705292353487446,0.00010307764064044152,0.0,0.00010307764064044152,297.8850909150565,0.0033569991600726178
1,0.0001,7,0.9844729998470246,0.9772425410859791,0.05344389785005493,566.0298301973382,0.1262874929816462,1.5096992485508647,0.034216703281571455,0.00010307764064044152,0.0,0.00010307764064044152,331.9507806831471,0.003012494797999941
1,0.0001,8,0.9791477100394298,0.9723636385128024,0.06040284250692178,561.1455868971792,0.12654399647726677,1.5018214072639746,0.03071216280428331,0.00010307764064044152,0.0,0.00010307764064044152,297.95174407817876,0.0033562481840603447
1,0.0001,9,0.9808638180141408,0.9749102645693822,0.056697968616238124,568.7221026744544,0.12648856537998654,1.5050622561225642,0.030723183781839834,0.00010307764064044152,0.0,0.00010307764064044152,298.0586632653861,0.0033550442354014654
1,0.0001,10,0.9800379506641366,0.9731750101355303,0.06182842186681687,561.6982922201139,0.12564408071921207,1.5013472324372106,0.029560785446364597,0.00010307764064044152,0.0,0.00010307764064044152,286.7817429919589,0.0034869723210659165
1,0.0001,11,0.9802696731926563,0.9724640136500847,0.06414708906905894,563.7485335567914,0.12552486773347482,1.4986206804028466,0.030816662745428734,0.00010307764064044152,0.0,0.00010307764064044152,298.96554241985734,0.0033448670770079344
1,0.0001,12,0.9785698001367885,0.9715655412749158,0.06299356883934919,562.3800440762976,0.1256236073677428,1.4919251992704412,0.030576917557061958,0.00010307764064044152,0.0,0.00010307764064044152,296.6396724554578,0.003371093258438505
1,0.0001,13,0.9803699509248773,0.9732654414658282,0.061943912452012716,558.7349943374859,0.12456821431987919,1.5004470311886329,0.03137303749295779,0.00010307764064044152,0.0,0.00010307764064044152,304.363170305713,0.0032855486391325365
1,0.0001,14,0.9771419921283682,0.9702929384734863,0.06602316551236782,560.1280653950954,0.12488173638121225,1.4991788305140723,0.031284893342783344,0.00010307764064044152,0.0,0.00010307764064044152,303.5080464434788,0.0032948055635362745
1,0.0001,15,0.9795747275360109,0.9719530557296522,0.0640673395768989,564.0058684551483,0.12668833383941092,1.4954312803185366,0.03163028511474909,0.00010307764064044152,0.0,0.00010307764064044152,306.85883881532357,0.003258827426515254
1,0.0001,16,0.9821400958713469,0.9759737749729988,0.05440156371415967,572.1458172259162,0.12681085843360052,1.5028765077830974,0.032715256359032635,0.00010307764064044152,0.0,0.00010307764064044152,317.38460597047384,0.0031507514264665676
1,0.0001,17,0.9777623349548298,0.9702937928491412,0.06685723945445408,571.3961084086171,0.12597219628514722,1.502211171697677,0.03019140217548566,0.00010307764064044152,0.0,0.00010307764064044152,292.89962389418866,0.003414138900913217
1,0.0001,18,0.9771979493457801,0.9714229022011245,0.06253524525533023,566.2460019894406,0.12489561864640564,1.5029367206938258,0.030280689821197963,0.00010307764064044152,0.0,0.00010307764064044152,293.76584129262295,0.0034040717450327745
1,0.0001,19,0.9821523505734032,0.9746278092086568,0.06011764788756755,562.038961038961,0.12501046902616508,1.4937562772609572,0.031027475055296468,0.00010307764064044152,0.0,0.00010307764064044152,301.0107222334223,0.0033221407947871644
1,0.0001,20,0.9812897783912277,0.974422995180414,0.05834880175885171,567.4596273291926,0.12442181221558712,1.4933635062129471,0.032236361877650145,0.00010307764064044152,0.0,0.00010307764064044152,312.73864707573176,0.003197558118737539
1,0.0001,21,0.9784791965566715,0.9713325664425296,0.06308091597837881,558.8192252510761,0.12881535090855323,1.5075253032261196,0.03396288927628865,0.00010307764064044152,0.0,0.00010307764064044152,329.4884231465775,0.0030350079995227516
1,0.0001,22,0.9773752197508216,0.9726967405110328,0.05752173056078256,565.641137353818,0.12508656457066536,1.4847943109063972,0.02943013424031541,0.00010307764064044152,0.0,0.00010307764064044152,285.5142401151233,0.0035024522755740177
1,0.0001,23,0.9818403784526171,0.9736517987418036,0.061948265749765766,564.6502365328857,0.1284785915631801,1.50948211917036,0.033343370465324644,0.00010307764064044152,0.0,0.00010307764064044152,323.47820786502064,0.0030913983560131347
1,0.0001,24,0.9790834312573443,0.9711287869861395,0.06401415812886427,579.7074030552292,0.12532363837817684,1.5026067481759877,0.030976975443665445,0.00010307764064044152,0.0,0.00010307764064044152,300.52080403858145,0.0033275566501932362
1,0.0001,25,0.9801747056589442,0.9735444669486866,0.05986796874520051,562.1241929358147,0.12676775650470518,1.5013155610300704,0.03239608146807453,0.00010307764064044152,0.0,0.00010307764064044152,314.2881547034968,0.0031817934753010724
1,0.0001,26,0.9817485353762956,0.9743364056221213,0.06026360823094259,555.8445245606129,0.12656152437557466,1.5070081426446436,0.03001588622669415,0.00010307764064044152,0.0,0.00010307764064044152,291.19686908042894,0.0034341028567989127
1,0.0001,27,0.9820542191676213,0.9742072060193828,0.059759957898337254,565.1237113402062,0.12530382050317712,1.4930003452122007,0.029567171313125862,0.00010307764064044152,0.0,0.00010307764064044152,286.84369499941255,0.0034862192107867245
1,0.0001,28,0.9806701030927835,0.9743754479926866,0.05876118198125796,560.9757428744693,0.12826574622886255,1.5046191501154345,0.03188170504254103,0.00010307764064044152,0.0,0.00010307764064044152,309.29797038866786,0.0032331282314700836
1,0.0001,29,0.9807314492972646,0.9747405723528924,0.05697167724954651,559.1985794166541,0.12583357901894487,1.500708989839855,0.030961378618490305,0.00010307764064044152,0.0,0.00010307764064044152,300.36949260888406,0.0033292329101548145
1,0.0003,0,0.9417564778720477,0.9236662098096672,0.17743115541433446,565.641137353818,0.12578433839371428,1.5001649175919343,0.030805635284124736,0.00030923292192132454,0.0,0.00030923292192132454,99.6195201103534,0.010038193306816287
1,0.0003,1,0.9397295852112139,0.9209650045424882,0.17978978304494045,565.2960812772134,0.12639209497137927,1.5083642847665721,0.03159568143951303,0.00030923292192132454,0.0,0.00030923292192132454,102.17437795174877,0.009787189509215744
1,0.0003,2,0.949912460988049,0.9348251381244794,0.14845979179337201,563.3201644211007,0.12575230936636217,1.4993626831385796,0.030530965508348384,0.00030923292192132454,0.0,0.00030923292192132454,98.73129070039998,0.010128501237105257
1,0.0003,3,0.9410695349189516,0.9246273295335329,0.179583176204584,560.5515830934706,0.12560768486582674,1.5083637799604614,0.031009173701401507,0.00030923292192132454,0.0,0.00030923292192132454,100.27772434039511,0.009972304483151975
1,0.0003,4,0.9426732298371829,0.9223928204267648,0.1820696810535451,560.4244604316547,0.12672942920471542,1.500568507200688,0.03221785394174672,0.00030923292192132454,0.0,0.00030923292192132454,104.18636457454433,0.00959818498402936
1,0.0003,5,0.9408983451536643,0.9215273170940161,0.18317737976126278,564.3493479752917,0.12799509408068843,1.5032075048821039,0.030999116890259387,0.00030923292192132454,0.0,0.00030923292192132454,100.24520254071209,0.009975539723149095
1,0.0003,6,0.9415016121602948,0.9235161640189277,0.17549840845454678,568.1119299861815,0.12748876999830827,1.5059050426657419,0.03221583044000441,0.00030923292192132454,0.0,0.00030923292192132454,104.17982095774654,0.009598787853605373
1,0.0003,7,0.9390206579954093,0.9207705058440208,0.18108549665392448,566.2027543993879,0.12734296143753454,1.503511881795867,0.030456911210983446,0.00030923292192132454,0.0,0.00030923292192132454,98.49181329642623,0.010153128128429787
1,0.0003,8,0.9433701657458563,0.9243272167807232,0.17543457598449752,567.8508287292817,0.12928283770452254,1.5066211838786634,0.033117832575106886,0.00030923292192132454,0.0,0.00030923292192132454,107.09672297936237,0.009337353862757322
1,0.0003,9,0.9421500151837231,0.9206231224331312,0.18688613754960692,561.8259945338597,0.12469113690895028,1.498190156912634,0.0303337992377403,0.00030923292192132454,0.0,0.00030923292192132454,98.0936927713598,0.010194335351721694
1,0.0003,10,0.9430203713448094,0.9228250914751089,0.17866909112015866,556.3033150417199,0.12697781456517987,1.5048966181076078,0.03167221134131593,0.00030923292192132454,0.0,0.00030923292192132454,102.42186098598525,0.009763540618900036
1,0.0003,11,0.9441871060824664,0.9250137148783334,0.17312850435034569,561.953755030754,0.1286279698542785,1.509301251314427,0.0318855967119964,0.00030923292192132454,0.0,0.00030923292192132454,103.11190837600654,0.00969820087465953
1,0.0003,12,0.9491232031308798,0.9259078431377925,0.17664795739178188,556.9720027094152,0.1264717301237397,1.5016108094187899,0.03070034333982738,0.00030923292192132454,0.0,0.00030923292192132454,99.27902614340074,0.010072620963823505
1,0.0003,13,0.94078238102572,0.919447266726885,0.18693930204653153,569.8587709841368,0.1262726453715004,1.4988190963061692,0.03013299529071179,0.00030923292192132454,0.0,0.00030923292192132454,97.44433129399549,0.010262269613025912
1,0.0003,14,0.9368684950239308,0.9169622146390684,0.19203092322588075,562.2094507331155,0.12553438058239408,1.4944476959132673,0.030947965740692744,0.00030923292192132454,0.0,0.00030923292192132454,100.07978952695912,0.009992027408597054
1,0.0003,15,0.9407849437686482,0.9217566368725949,0.1779119303435398,566.1595134266697,0.12839474115753546,1.5119361560735038,0.03379816826058822,0.00030923292192132454,0.0,0.00030923292192132454,109.29679818886554,0.009149398853130115
1,0.0003,16,0.9483015494636472,0.9299215638920223,0.1634973774194694,551.2979737783076,0.12814107703161426,1.5207894300422071,0.03230182530736899,0.00030923292192132454,0.0,0.00030923292192132454,104.45791187649569,0.009573233678865183
1,0.0003,17,0.9454559363525091,0.9234588384999352,0.17948058648286494,566.1162790697674,0.12711355107603595,1.5073437132207004,0.030707612360648846,0.00030923292192132454,0.0,0.00030923292192132454,99.30253276351189,0.010070236600928309
1,0.0003,18,0.9410252532889762,0.9203705777288955,0.18449926305153294,559.5362165431725,0.12699323194101453,1.505449922213169,0.029423509281867443,0.00030923292192132454,0.0,0.00030923292192132454,95.14998952586754,0.010509722649292981
1,0.0003,19,0.9385353421782475,0.9181623419139884,0.18977888730674874,554.7216100742073,0.12540645629633218,1.4930335992015586,0.030334903145111634,0.00030923292192132454,0.0,0.00030923292192132454,98.09726259621698,0.010193964373054422
1,0.0003,20,0.9374859792118447,0.9187037318780433,0.1878425862645296,553.3966200553353,0.12593938212376088,1.5003632193245542,0.032745906438709435,0.00030923292192132454,0.0,0.00030923292192132454,105.89398513991564,0.009443406995012225
1,0.0003,21,0.9445632254123396,0.9270122942135767,0.17078926450752976,565.0806353084912,0.1273332359851338,1.5015327237569571,0.03196474327564638,0.00030923292192132454,0.0,0.00030923292192132454,103.36785319313087,0.009674187565176726
1,0.0003,22,0.9371962039966052,0.9203527424514815,0.17877677642798614,570.9560219118895,0.1284448529186193,1.5093280848228572,0.031581327518791315,0.00030923292192132454,0.0,0.00030923292192132454,102.12796012329592,0.009791637851110813
1,0.0003,23,0.936535684426541,0.9155211909513663,0.19754635947570745,562.4653796458159,0.12549681242671795,1.5013346739184281,0.03050767867046018,0.00030923292192132454,0.0,0.00030923292192132454,98.65598552996885,0.010136232430583026
1,0.0003,24,0.940572991868683,0.9190401576368632,0.18935492378410199,562.3800440762976,0.12539301955257542,1.5054366298034536,0.03152830973366478,0.00030923292192132454,0.0,0.00030923292192132454,101.95651076791317,0.009808103400834612
1,0.0003,25,0.9418497465048394,0.9219463288676977,0.18301355244602754,568.4604393916117,0.1266685675655026,1.5105156803039597,0.030447083909853977,0.00030923292192132454,0.0,0.00030923292192132454,98.46003368813481,0.01015640521886707
1,0.0003,26,0.9044973746290237,0.8900663387410281,0.23934846602921123,563.1489993151206,0.12712377539719455,1.5042265039407379,0.03170514955811085,0.00030923292192132454,0.0,0.00030923292192132454,102.52837686595775,0.009753397357566357
