p_s,shape,rep,stake_top1_hit,stake_top_jaccard,stake_confidence,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.01,1.3333333333333333,69,0.96,0.96,0.1396,30.53396683857849,,,,,,,,
0.01,1.3333333333333333,70,1.0,1.0,0.1552,30.520178648726983,,,,,,,,
0.01,1.3333333333333333,71,1.0,1.0,0.1512,30.528198310085255,,,,,,,,
0.01,1.3333333333333333,72,0.8,0.8,0.1508,30.546510577158323,,,,,,,,
0.01,1.3333333333333333,73,1.0,1.0,0.1344,30.525006359618274,,,,,,,,
0.01,1.3333333333333333,74,1.0,1.0,0.1436,30.51522483149397,,,,,,,,
0.01,1.3333333333333333,75,1.0,1.0,0.132,30.623538104016898,,,,,,,,
0.01,1.3333333333333333,76,1.0,1.0,0.11159999999999998,30.538405164278505,,,,,,,,
0.01,1.3333333333333333,77,1.0,1.0,0.15,30.464218246001224,,,,,,,,
0.01,1.3333333333333333,78,1.0,1.0,0.124,30.45658956220265,,,,,,,,
0.01,1.3333333333333333,79,1.0,1.0,0.14520000000000002,30.483812063506534,,,,,,,,
0.01,1.3333333333333333,80,1.0,1.0,0.1316,30.52088804739867,,,,,,,,
0.01,1.3333333333333333,81,1.0,1.0,0.08840000000000002,30.705165990788174,,,,,,,,
0.01,1.3333333333333333,82,0.96,0.96,0.1428,30.536165647315507,,,,,,,,
0.01,1.3333333333333333,83,0.8,0.8,0.1628,30.419210518381306,,,,,,,,
0.01,1.3333333333333333,84,1.0,1.0,0.1444,30.533721345762945,,,,,,,,
0.01,1.3333333333333333,85,1.0,1.0,0.12760000000000002,30.526054352046785,,,,,,,,
0.01,1.3333333333333333,86,0.92,0.92,0.14880000000000002,30.462505348206747,,,,,,,,
0.01,1.3333333333333333,87,0.96,0.96,0.1504,30.5615950054281,,,,,,,,
0.01,1.3333333333333333,88,0.48,0.48,0.1552,30.444537005894983,,,,,,,,
0.01,1.3333333333333333,89,1.0,1.0,0.13920000000000002,30.543195368260236,,,,,,,,
0.01,1.3333333333333333,90,0.56,0.56,0.16,30.540067731896496,,,,,,,,
0.01,1.3333333333333333,91,1.0,1.0,0.12200000000000001,30.518077880590276,,,,,,,,
0.01,1.3333333333333333,92,1.0,1.0,0.09920000000000001,30.559069563986483,,,,,,,,
0.01,1.3333333333333333,93,1.0,1.0,0.14240000000000003,30.56834615562336,,,,,,,,
0.01,1.3333333333333333,94,1.0,1.0,0.15,30.487912830037956,,,,,,,,
0.01,1.3333333333333333,95,1.0,1.0,0.14400000000000002,30.60003692253833,,,,,,,,
0.01,1.3333333333333333,96,1.0,1.0,0.11400000000000002,30.399642227801095,,,,,,,,
0.01,1.3333333333333333,97,1.0,1.0,0.1152,30.508584081426374,,,,,,,,
0.01,1.3333333333333333,98,1.0,1.0,0.1456,30.54899469673541,,,,,,,,
0.01,1.3333333333333333,99,1.0,1.0,0.11560000000000001,30.578450915317877,,,,,,,,
0.01,1.3333333333333333,100,0.96,0.96,0.1404,30.501050926291033,,,,,,,,
0.01,1.3333333333333333,101,0.88,0.88,0.14600000000000002,30.413051242826842,,,,,,,,
0.01,1.3333333333333333,102,1.0,1.0,0.064,30.709632930708246,,,,,,,,
0.01,1.3333333333333333,103,1.0,1.0,0.12639999999999998,30.59061061760191,,,,,,,,
0.01,1.3333333333333333,104,1.0,1.0,0.1188,30.53349776088986,,,,,,,,
0.01,1.3333333333333333,105,1.0,1.0,0.0824,30.61693901320893,,,,,,,,
0.01,1.3333333333333333,106,1.0,1.0,0.126,30.590070627808387,,,,,,,,
0.01,1.3333333333333333,107,1.0,1.0,0.1452,30.48617415711976,,,,,,,,
0.01,1.3333333333333333,108,0.88,0.88,0.1464,30.43487998852957,,,,,,,,
0.01,1.3333333333333333,109,1.0,1.0,0.1464,30.507869969117706,,,,,,,,
