width,hops,mix_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
4,2,0.0001,0,0.7487167700911668,0.6875652038671787,0.7691219258845297,566.938864628821,0.1903334295784589,1.757476055892637,0.015931878839620262,0.00014361406616345072,0.0,0.00014361406616345072,110.93536493485114,0.009014257992365812
4,2,0.0001,1,0.7510903895322605,0.6950741984861216,0.7410354638789309,556.512107083772,0.19256758224219084,1.7784218545060813,0.016035547518783014,0.00014361406616345072,0.0,0.00014361406616345072,111.65722096143814,0.008955981452783599
4,2,0.0001,2,0.737906905993307,0.6697649217842092,0.8141094982084116,562.849710982659,0.19932671077549458,1.7851297776407558,0.01580673130628038,0.00014361406616345072,0.0,0.00014361406616345072,110.06394936475337,0.009085627090174521
4,2,0.0001,3,0.7536923426493979,0.6910972507045196,0.7536331254528092,560.5092024539878,0.18065463376115076,1.7131215657680923,0.016496890616581647,0.00014361406616345072,0.0,0.00014361406616345072,114.8696019636832,0.008705523331717967
4,2,0.0001,4,0.7352357698763925,0.671751528207964,0.8042366523843898,564.6502365328857,0.18729059232282452,1.7334771651669256,0.015797918326455534,0.00014361406616345072,0.0,0.00014361406616345072,110.0025836499576,0.0090906955711343
4,2,0.0001,5,0.7573097182991068,0.6924990662874934,0.7548765994168073,564.9514466753187,0.1992819039733149,1.7848482578813152,0.015954987765211672,0.00014361406616345072,0.0,0.00014361406616345072,111.09627483879542,0.009001201898542817
4,2,0.0001,6,0.7470963772017537,0.6831856745706351,0.7799360539561657,569.2024459656949,0.180432828317862,1.7256009815743525,0.015440700425323946,0.00014361406616345072,0.0,0.00014361406616345072,107.51523745418156,0.009301007221661559
4,2,0.0001,7,0.7234970169802661,0.6557124147860113,0.8466155898198179,566.0298301973382,0.17853454596479423,1.7205695652842727,0.016303666614939216,0.00014361406616345072,0.0,0.00014361406616345072,113.52416271247142,0.008808697427108556
4,2,0.0001,8,0.7476493782226267,0.6905730824300915,0.7474516920532767,561.1455868971792,0.18654139555292204,1.7397463983695969,0.01575374853025307,0.00014361406616345072,0.0,0.00014361406616345072,109.69502466647896,0.009116183737962948
4,2,0.0001,9,0.7348601291115893,0.6759201898482166,0.7855449560816595,568.7221026744544,0.1855527958541643,1.7409026533143197,0.01578511045392598,0.00014361406616345072,0.0,0.00014361406616345072,109.91340107284866,0.009098071665867366
4,2,0.0001,10,0.7572675521821632,0.6978367324873279,0.7383131358834075,561.6982922201139,0.189085442078067,1.7544920742574228,0.015672162238178366,0.00014361406616345072,0.0,0.00014361406616345072,109.12693064717972,0.009163640854457075
4,2,0.0001,11,0.7193570503542317,0.6581771475178639,0.843155548816207,563.7485335567914,0.18846984789706767,1.7486561467118418,0.015488767848828624,0.00014361406616345072,0.0,0.00014361406616345072,107.84993603064254,0.009272142727241656
4,2,0.0001,12,0.7553005547534007,0.6935930241308511,0.7492491886374817,562.3800440762976,0.19526875740848482,1.764646266829985,0.01623505760749447,0.00014361406616345072,0.0,0.00014361406616345072,113.04643090473428,0.008845922794702941
4,2,0.0001,13,0.7214798036995093,0.6532380657847505,0.8593415777777438,558.7349943374859,0.16986371914390475,1.6824196237888989,0.015191425054032813,0.00014361406616345072,0.0,0.00014361406616345072,105.7795065613077,0.009453627006857136
4,2,0.0001,14,0.7161671207992734,0.6438973624312447,0.8839657987482541,560.1280653950954,0.17088147427421063,1.683049555175419,0.01539182863725434,0.00014361406616345072,0.0,0.00014361406616345072,107.17493800180074,0.009330539570577575
4,2,0.0001,15,0.7165612377105404,0.6541756106468154,0.8551645025926062,564.0058684551483,0.17780480353394523,1.6953289130258085,0.01562584537123499,0.00014361406616345072,0.0,0.00014361406616345072,108.80442138203112,0.009190802977471175
4,2,0.0001,16,0.747719189732488,0.6878082897450646,0.7647700274472263,572.1458172259162,0.18837003817316145,1.7469933421914983,0.016018550652171615,0.00014361406616345072,0.0,0.00014361406616345072,111.53886997350598,0.008965484411286681
4,2,0.0001,17,0.7550768280441664,0.7014831730516922,0.7200783166871969,571.3961084086171,0.20004722074372694,1.7975247879076344,0.015617577736484959,0.00014361406616345072,0.0,0.00014361406616345072,108.74685296292779,0.00919566840560346
4,2,0.0001,18,0.7575943071390313,0.696573806072602,0.7397482514729498,566.2460019894406,0.2006052547658328,1.8078085530887513,0.016116275157951453,0.00014361406616345072,0.0,0.00014361406616345072,112.21933608932932,0.008911120265441382
4,2,0.0001,19,0.7191463507252981,0.655618829278444,0.8525166274412753,562.038961038961,0.17370129909249954,1.6860713943674073,0.016144425591324073,0.00014361406616345072,0.0,0.00014361406616345072,112.41535054755502,0.008895582277057175
4,2,0.0001,20,0.7450348899624262,0.6806612801065748,0.7854912623105204,567.4596273291926,0.18452232755953446,1.7316770337793002,0.015541253015774349,0.00014361406616345072,0.0,0.00014361406616345072,108.21539582401674,0.009240829295918589
4,2,0.0001,21,0.7789020614664351,0.7199335543143899,0.680814309442745,558.8192252510761,0.1969256749143824,1.7758761837700656,0.016586308931126333,0.00014361406616345072,0.0,0.00014361406616345072,115.49223118750112,0.008658591056020942
4,2,0.0001,22,0.7281968967362226,0.6613814300634921,0.8430770217376493,565.641137353818,0.18542803335003555,1.7186579626613274,0.014997115591409073,0.00014361406616345072,0.0,0.00014361406616345072,104.42650912996562,0.00957611250564198
4,2,0.0001,23,0.7307340149549825,0.6651610773286116,0.8277558667694995,564.6502365328857,0.17947831089259125,1.7117216110958648,0.01666812433493007,0.00014361406616345072,0.0,0.00014361406616345072,116.06192053611005,0.008616090405714701
4,2,0.0001,24,0.745475910693302,0.681917419845047,0.7803439171513533,579.7074030552292,0.1880942413408775,1.7543463963732966,0.01576529391502835,0.00014361406616345072,0.0,0.00014361406616345072,109.77541640723048,0.009109507690595596
4,2,0.0001,25,0.736194454994303,0.6739216017202168,0.7988629806241773,562.1241929358147,0.18650855289888568,1.7375664160305706,0.016603192412798156,0.00014361406616345072,0.0,0.00014361406616345072,115.6097926640532,0.008649786293673824
4,2,0.0001,26,0.7428270992939763,0.6767114389550657,0.7956972304771264,555.8445245606129,0.18159019402810372,1.7274541567898307,0.015168990484648854,0.00014361406616345072,0.0,0.00014361406616345072,105.6232922712783,0.009467608692140018
4,2,0.0001,27,0.7154639175257732,0.652133480327448,0.8596241571811796,565.1237113402062,0.18100358039373532,1.712147700368747,0.016152903981930047,0.00014361406616345072,0.0,0.00014361406616345072,112.47438648207361,0.008890913133892772
4,2,0.0001,28,0.7633414190418435,0.7015465951552187,0.7256942964537325,560.9757428744693,0.19014226330909878,1.7480518387259956,0.016684387707862028,0.00014361406616345072,0.0,0.00014361406616345072,116.1751641296272,0.0086076917342179
4,2,0.0001,29,0.7748224270817591,0.7163061590806019,0.695623626912344,559.1985794166541,0.2033631541125942,1.8092097535510248,0.015452982304830078,0.00014361406616345072,0.0,0.00014361406616345072,107.60075748598788,0.009293614871904813
4,2,0.001,0,0.31315447527325535,0.2261019545089155,2.6445166030644214,565.641137353818,0.20304091018624604,1.8073655385714535,0.01577069350071945,0.001436140661634507,0.0,0.001436140661634507,10.981301429604004,0.0910638876831251
4,2,0.001,1,0.2744633717821404,0.19213227759115908,2.8458501491810786,565.2960812772134,0.18259119012509473,1.7344038390505367,0.016384527068575915,0.001436140661634507,0.0,0.001436140661634507,11.408720264161508,0.08765224993212643
4,2,0.001,2,0.26908731064931113,0.18751298598005378,2.892810638488013,563.3201644211007,0.18596482867724262,1.7384667230812267,0.01519442275822647,0.001436140661634507,0.0,0.001436140661634507,10.580037989407893,0.09451761902945346
4,2,0.001,3,0.28185123466141493,0.19198012631396275,2.8854087694122224,560.5515830934706,0.19487162042059936,1.788691182946787,0.015705256297205546,0.001436140661634507,0.0,0.001436140661634507,10.935736809604018,0.09144331263731373
4,2,0.001,4,0.2689890193108671,0.19294432015897206,2.838402268218526,560.4244604316547,0.18585312119103037,1.734101147752357,0.01579086599119211,0.001436140661634507,0.0,0.001436140661634507,10.99534774902908,0.09094755553213885
4,2,0.001,5,0.2659193167086098,0.19034328915924478,2.8698492022221362,564.3493479752917,0.18017147574573755,1.708336826595748,0.01673162096610553,0.001436140661634507,0.0,0.001436140661634507,11.65040543247544,0.0858339227588171
4,2,0.001,6,0.28427759864885616,0.19726678790053695,2.8173034797074323,568.1119299861815,0.18475071285502054,1.7331337283329793,0.016240461036977367,0.001436140661634507,0.0,0.001436140661634507,11.308405555827449,0.08842979631948908
4,2,0.001,7,0.2912012241775057,0.2075586796940813,2.735304399764281,566.2027543993879,0.18635358518804424,1.736838874313957,0.01576159159265368,0.001436140661634507,0.0,0.001436140661634507,10.97496367432075,0.09111647470321954
4,2,0.001,8,0.27793124616329035,0.1985252654478133,2.794113721841212,567.8508287292817,0.18822691513923928,1.7376055807470436,0.015856790986482086,0.001436140661634507,0.0,0.001436140661634507,11.041252023624958,0.09056943885170819
4,2,0.001,9,0.30458548436076527,0.21612495600212298,2.675624006651654,561.8259945338597,0.2043074259418063,1.816288559969484,0.016122722236795176,0.001436140661634507,0.0,0.001436140661634507,11.22642277842444,0.0890755692830182
4,2,0.001,10,0.2807637375028189,0.1968963885347824,2.8319888946805745,556.3033150417199,0.18089090546709485,1.7192690056094586,0.016092158582176237,0.001436140661634507,0.0,0.001436140661634507,11.205140981010423,0.0892447495033503
4,2,0.001,11,0.2929607411344825,0.21035695554258116,2.766682285965953,561.953755030754,0.19173978714388795,1.7591919053824343,0.01669577208496614,0.001436140661634507,0.0,0.001436140661634507,11.62544347568592,0.08601822391476541
4,2,0.001,12,0.2940468126740423,0.20711636248634513,2.711961441219282,556.9720027094152,0.19916696823202074,1.7899338772910292,0.01539443637867128,0.001436140661634507,0.0,0.001436140661634507,10.719309598232872,0.09328959023301786
4,2,0.001,13,0.3034806714923764,0.2239791120368472,2.675526780434123,569.8587709841368,0.1947883649263531,1.7694790576189954,0.015572059660072921,0.001436140661634507,0.0,0.001436140661634507,10.8429905761111,0.09222547903003486
4,2,0.001,14,0.27850793891969916,0.19368358550314255,2.857383757002143,562.2094507331155,0.1862474374647718,1.7335808397426553,0.01662963155425603,0.001436140661634507,0.0,0.001436140661634507,11.579389121487193,0.08636034159559927
4,2,0.001,15,0.2740417718613725,0.2001306968422436,2.7864847370881396,566.1595134266697,0.1967529395769816,1.7844943077506317,0.016765710992642627,0.001436140661634507,0.0,0.001436140661634507,11.674142680119619,0.08565939507514683
4,2,0.001,16,0.2853098927294398,0.2078349497814641,2.7055621940050782,551.2979737783076,0.20168981407186948,1.819705325950189,0.01601551528242019,0.001436140661634507,0.0,0.001436140661634507,11.15177343714545,0.08967183611075698
4,2,0.001,17,0.31020501835985315,0.2277541428886766,2.6146810259452793,566.1162790697674,0.20537761013838463,1.8197162179638386,0.015330702819735722,0.001436140661634507,0.0,0.001436140661634507,10.674931244052008,0.0936774183493868
4,2,0.001,18,0.29532738545289583,0.21363033218021454,2.68759777257169,559.5362165431725,0.20309958085999824,1.8083632944698584,0.01597775707833014,0.001436140661634507,0.0,0.001436140661634507,11.125481998501082,0.08988374617250097
4,2,0.001,19,0.26459785623266624,0.18898907143596114,2.8795684824473917,554.7216100742073,0.18187362526077777,1.7150334257932411,0.0159117123945009,0.001436140661634507,0.0,0.001436140661634507,11.079494383503762,0.0902568262942484
4,2,0.001,20,0.2891647349136319,0.20545160533869938,2.741804440534913,553.3966200553353,0.19332060404121876,1.7680720531467622,0.0163948529222783,0.001436140661634507,0.0,0.001436140661634507,11.415910265794519,0.08759704453847181
4,2,0.001,21,0.2936774587660354,0.2152515590620504,2.7116506566305625,565.0806353084912,0.1894166522542946,1.746063263020441,0.01621296626326422,0.001436140661634507,0.0,0.001436140661634507,11.289260652791382,0.08857976007071287
4,2,0.001,22,0.2923385541239102,0.21021377673858177,2.7160248458144913,570.9560219118895,0.19943485979456455,1.7908279146883275,0.016134463517447597,0.001436140661634507,0.0,0.001436140661634507,11.234598356880007,0.08901074771289937
4,2,0.001,23,0.27741886448278485,0.19592483900124993,2.8120399095718867,562.4653796458159,0.18521532564773224,1.7398981941674623,0.015567480257872574,0.001436140661634507,0.0,0.001436140661634507,10.839801889708243,0.09225260850472199
4,2,0.001,24,0.2788965726878942,0.18890907149258507,2.866678486047373,562.3800440762976,0.18450221203966066,1.74369511618235,0.01607842337381471,0.001436140661634507,0.0,0.001436140661634507,11.195577009507872,0.08932098802506985
4,2,0.001,25,0.28844676601628516,0.21227590341839783,2.7352001446634833,568.4604393916117,0.18684466072591022,1.7530449812051772,0.015539995597418413,0.001436140661634507,0.0,0.001436140661634507,10.820664028641847,0.09241577017390445
4,2,0.001,26,0.28696446236968265,0.18873352298721022,2.8189493281599267,563.1489993151206,0.19717704787035473,1.7820873254777374,0.016263416029716093,0.001436140661634507,0.0,0.001436140661634507,11.324389361141199,0.0883049821150998
4,2,0.001,27,0.2836467765652813,0.19465543402312105,2.849779051301999,572.7204550731368,0.1896461788273882,1.7485001160761806,0.016876614927373572,0.001436140661634507,0.0,0.001436140661634507,11.751366268096525,0.0850964881177156
4,2,0.001,28,0.2916098742995608,0.20746714445753695,2.746747717168091,560.3820990458883,0.19368099127314053,1.775542565234477,0.015640419876774652,0.001436140661634507,0.0,0.001436140661634507,10.890590521247345,0.09182238539306185
4,2,0.001,29,0.2916126077997405,0.21088377142068018,2.7344228951641654,564.7792871861406,0.18754429329419509,1.7505626172269726,0.015979299882165662,0.001436140661634507,0.0,0.001436140661634507,11.12655626920223,0.08987506788312855
4,2,0.0037,0,0.15766037735849056,0.10151775671442148,3.7141194382532206,558.5245283018868,0.1971081522933673,1.788125839923954,0.01579499477220753,0.005313720448047677,0.0,0.005313720448047677,2.9724926116523114,0.336417993464459
4,2,0.0037,1,0.1646690587067715,0.10052469689360866,3.747080534504706,564.9514466753187,0.18963469262234867,1.765802261303019,0.01597125333475172,0.005313720448047677,0.0,0.005313720448047677,3.0056630737169745,0.3327052884751127
4,2,0.0037,2,0.15282947208507405,0.09454965706609861,3.759387308732232,562.1241929358147,0.19053028844064102,1.7591092127241241,0.015067342286129813,0.005313720448047677,0.0,0.005313720448047677,2.8355541909747495,0.35266474651864804
4,2,0.0037,3,0.15980243161094224,0.09798846136267858,3.740140358220417,562.3373860182371,0.1998727428726852,1.801349565845395,0.015032012179952054,0.005313720448047677,0.0,0.005313720448047677,2.8289053454957327,0.3534936231048627
4,2,0.0037,4,0.16248497596153846,0.0986763732232063,3.7189230610095128,555.9278846153846,0.20364565995987505,1.8202817448337045,0.016153706435489242,0.005313720448047677,0.0,0.005313720448047677,3.0399992986880413,0.3289474443074923
4,2,0.0037,5,0.1585107989729648,0.10012008430845025,3.714201250782728,558.861350249207,0.19331027835141867,1.7697148801466214,0.016623795806074336,0.005313720448047677,0.0,0.005313720448047677,3.128466385954141,0.31964543537680146
4,2,0.0037,6,0.19922262022711684,0.1130125906688522,3.6720985411892957,564.0058684551483,0.19560768469818868,1.7652125210755276,0.016069744128040814,0.005313720448047677,0.0,0.005313720448047677,3.0241982590456042,0.3306661516019741
4,2,0.0037,7,0.14142792178262847,0.0970035092831849,3.7523520835064454,560.8908594815825,0.18992023199098185,1.7484303556652128,0.015597192505664062,0.005313720448047677,0.0,0.005313720448047677,2.9352677955413804,0.34068441779621683
4,2,0.0037,8,0.16362800674122874,0.10691994067161094,3.7212632246188075,566.8955109544967,0.20135009317891672,1.8050232560679886,0.015794734837438353,0.005313720448047677,0.0,0.005313720448047677,2.9724436939925063,0.33642352991279945
4,2,0.0037,9,0.16523784234883546,0.10215106482269848,3.6904840387444966,561.4430619831576,0.19700444149202667,1.7855509694575793,0.015903624821272524,0.005313720448047677,0.0,0.005313720448047677,2.99293592441727,0.33412008317374914
4,2,0.0037,10,0.16536448456345293,0.10808642778129149,3.643544365151662,561.3580368656603,0.20389130245894194,1.813481400735002,0.015649006767602138,0.005313720448047677,0.0,0.005313720448047677,2.9450188282584127,0.33955640296920175
4,2,0.0037,11,0.15441008018327607,0.09864354319350688,3.736305713322009,565.1237113402062,0.1895136949897278,1.756769258087278,0.01546916681037085,0.005313720448047677,0.0,0.005313720448047677,2.9111743761481472,0.34350398526216996
4,2,0.0037,12,0.13866646134893748,0.09040162068944925,3.758962230199345,569.7711733908222,0.2058149469376076,1.8195618199906496,0.015390952909204962,0.005313720448047677,0.0,0.005313720448047677,2.8964551409285706,0.34524960731116705
4,2,0.0037,13,0.15728527607361964,0.100162368045056,3.7041603242757843,567.5030674846626,0.203548064280767,1.8159012607702683,0.016274069102851375,0.005313720448047677,0.0,0.005313720448047677,3.062650597065312,0.32651455603790336
