mix_scale,jitter_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
1e-06,0.0,0,0.9987742281467862,0.9985560120059154,0.003323406375606574,566.938864628821,0.25009804673027247,1.995323220115714,0.031121182208483183,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17783.532690561817,5.623179698883597e-05
1e-06,0.0,1,0.9984960144382614,0.9984116821818976,0.00333452162076802,556.512107083772,0.2405533886339981,1.9723963540898248,0.031458197152078406,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17976.112658330516,5.5629379889126286e-05
1e-06,0.0,2,0.9994675996349255,0.9992729882622445,0.0017926813241967328,562.849710982659,0.2801263211877085,2.103392091354711,0.028270555821084217,1.7500000000000002e-06,0.0,1.7500000000000002e-06,16154.603326333836,6.19018604046988e-05
1e-06,0.0,3,0.998863894569416,0.9984373098737525,0.0034049506546566313,560.5092024539878,0.2419602188456338,1.9551210867080142,0.03129476280730564,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17882.72160417465,5.5919899785643025e-05
1e-06,0.0,4,0.9990080878986723,0.9986888615708766,0.0029482145654548806,564.6502365328857,0.3001334393338766,2.1753981955215558,0.03129399131946792,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17882.280753981664,5.5921278373696275e-05
1e-06,0.0,5,0.9995419497671578,0.999381476679375,0.00150441623761906,564.9514466753187,0.2550173341296613,2.0043556711903117,0.03212065693657727,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18354.661106615582,5.448207374635587e-05
1e-06,0.0,6,0.999307745558034,0.998683778906127,0.0031167705823004917,569.2024459656949,0.24250862625194713,1.9752354872954179,0.030705292353487446,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17545.881344849968,5.6993432267426e-05
1e-06,0.0,7,0.9990821477742083,0.9987762048420342,0.002974893253924505,566.0298301973382,0.24540933602838777,1.9904777678911953,0.034216703281571455,1.7500000000000002e-06,0.0,1.7500000000000002e-06,19552.401875183685,5.114461161261322e-05
1e-06,0.0,8,0.998559296329997,0.9982995153946967,0.003678387324052481,561.1455868971792,0.2455931664153468,1.9739214171816137,0.03071216280428331,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17549.80731673332,5.698068257686932e-05
1e-06,0.0,9,0.9994620350445742,0.9989863454928202,0.002302149624490128,568.7221026744544,0.26520282943965867,2.0589410905602277,0.030723183781839834,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17556.10501819419,5.6960242546034814e-05
1e-06,0.0,10,0.9988614800759014,0.9982457766816579,0.003971765085376227,561.6982922201139,0.24752953776624054,1.9876967382402997,0.029560785446364597,1.7500000000000002e-06,0.0,1.7500000000000002e-06,16891.877397922624,5.920005079618804e-05
