p_s,width,attack,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
0.1,1,mixnet_attribution,0,0.10821733273462057,0.099874742222502,3.3911701546405175,291.8628947762311,1.8996575163619127,12.16295620347915,0.024615741901710134,0.875,0.0,0.875,0.028132276459097296,35.546359053237026
0.1,1,mixnet_attribution,1,0.10279809940417829,0.10036142544018721,3.386018075188016,294.17542801116224,1.863422240683576,12.141589340351652,0.027042544356279466,0.875,0.0,0.875,0.030905764978605105,32.3564228451314
0.1,1,mixnet_attribution,2,0.14716837704294944,0.10032274324803342,3.3892693301273558,296.1499809958191,1.8790766808378976,11.852615279277027,0.030461501968278102,0.875,0.0,0.875,0.03481314510660354,28.72478188735423
0.1,1,mixnet_attribution,3,0.1006983554854697,0.09996703690297751,3.391184206960168,292.974018172261,1.8585785567993298,11.407312802896659,0.02626120874054884,0.875,0.0,0.875,0.030012809989198672,33.31910608703053
0.1,1,mixnet_attribution,4,0.10488042581902692,0.09985564567671085,3.390614220545703,292.5861009071145,1.840105832729023,11.155188699108715,0.03101546158171132,0.875,0.0,0.875,0.03544624180767008,28.21173554663315
0.1,1,mixnet_attribution,5,0.10641723529862762,0.10019557336313006,3.388505833742753,298.7949858161466,1.862653212097939,11.876170131232932,0.023765633428437342,0.875,0.0,0.875,0.027160723918214107,36.81786991433595
0.1,1,mixnet_attribution,6,0.1134191314818996,0.10009901038328663,3.3883344083564615,293.5439151049898,1.8319806951622013,11.734555694550643,0.029709467288648924,0.875,0.0,0.875,0.033953676901313054,29.451891260746727
0.1,1,mixnet_attribution,7,0.10644320297951583,0.09945735626796615,3.398156165134301,290.6311359404097,1.8464013403863646,11.86148481781542,0.03108463454412319,0.875,0.0,0.875,0.03552529662185507,28.148955676412353
0.1,1,mixnet_attribution,8,0.08789224170366469,0.0995729851800085,3.395061234684257,293.82143125893595,1.9157400828844402,12.069227955292023,0.025612131282742347,0.875,0.0,0.875,0.02927100718027697,34.16349816188791
0.1,1,mixnet_attribution,9,0.10699055741699665,0.10023308367497871,3.388122819744224,297.003274444106,1.911024635337526,11.839002613551068,0.02808364425660636,0.875,0.0,0.875,0.032095593436121554,31.15692507727754
0.1,1,mixnet_attribution,10,0.09919733454490383,0.09994625003714308,3.3891801717633494,295.4446463728608,1.9286192169529386,11.959088853284364,0.02951646775413739,0.875,0.0,0.875,0.033733106004728446,29.644468548488472
0.1,1,mixnet_attribution,11,0.08985241263286686,0.09915020049110723,3.3993683924940306,298.5823201039994,1.9592999882879667,11.938543601860138,0.02960763344227275,0.875,0.0,0.875,0.03383729536259743,29.553189440352412
0.1,1,mixnet_attribution,12,0.11339421613394216,0.10026420281775729,3.387825621458324,296.78972602739725,1.8274473568308167,11.340851447487843,0.03540215665225732,0.875,0.0,0.875,0.04045960760257979,24.7160083662363
0.1,1,mixnet_attribution,13,0.11780262959044885,0.10034507311981797,3.3838654590742165,294.72963578661023,1.808932827640092,11.512809832909786,0.029243232370095296,0.875,0.0,0.875,0.033420836994394625,29.92145289980981
0.1,1,mixnet_attribution,14,0.10558103975535169,0.09991701182530568,3.3910251660332387,298.645871559633,1.957088878552895,12.203661489409017,0.02747555673237312,0.875,0.0,0.875,0.03140063626556928,31.846488445092355
0.1,1,mixnet_attribution,15,0.10219201099824334,0.09986813079181106,3.3918724640084124,297.93622546398836,1.8862547311000526,11.202856600023487,0.026609528314791964,0.875,0.0,0.875,0.030410889502619387,32.88295792577415
0.1,1,mixnet_attribution,16,0.11475034356390289,0.1004341940981934,3.382689479536549,297.72270575660406,1.8506077134807128,12.152285036988383,0.0342486132570481,0.875,0.0,0.875,0.03914127229376926,25.5484796839163
0.1,1,mixnet_attribution,17,0.09933825792551554,0.09962021230276338,3.3973584545201203,299.98453370267777,1.851388415612746,11.764575272099204,0.02391876688023019,0.875,0.0,0.875,0.02733573357740593,36.58215343547757
0.1,1,mixnet_attribution,18,0.10971690895179802,0.09987139692274849,3.3918674391840686,298.096480489671,1.8576096548349597,11.898747103168107,0.028115367757438982,0.875,0.0,0.875,0.032131848865644554,31.121769686561745
0.1,1,mixnet_attribution,19,0.11022907688818326,0.09993759874407238,3.3887563640001894,294.8996749073864,1.9309557172528002,11.977925941976116,0.028419215595023868,0.875,0.0,0.875,0.03247910353717014,30.78902713110809
0.1,1,mixnet_attribution,20,0.09764590114298691,0.10010836962288017,3.389020310418616,295.3426689879646,1.850849072157871,11.500134115773472,0.025819100620779505,0.875,0.0,0.875,0.02950754356660515,33.88963902545041
0.1,1,mixnet_attribution,21,0.1039453717754173,0.09981110553747032,3.3905828215175684,295.8682094081942,1.871527315233834,11.50766295388297,0.035439179729410415,0.875,0.0,0.875,0.04050191969075476,24.69018771542986
0.1,1,mixnet_attribution,22,0.11289961994187346,0.10039727420925895,3.387122336390435,290.6689768239064,1.8717843485355843,11.09209667834841,0.03259580926196821,0.875,0.0,0.875,0.03725235344224938,26.843941592851422
0.1,1,mixnet_attribution,23,0.10009979273815921,0.10015991777919506,3.3878117627104487,299.2634528287403,1.90652035898529,12.12818873294825,0.033022612346398,0.875,0.0,0.875,0.03774012839588343,26.496995174745532
0.1,1,mixnet_attribution,24,0.09857662023016353,0.10004844222051427,3.388766546846679,295.07260751059965,1.846108954428928,11.904617605564999,0.028021940001884026,0.875,0.0,0.875,0.03202507428786746,31.22553256274085
0.1,1,mixnet_attribution,25,0.09252534422756847,0.09967607266116583,3.394302309161514,295.06899682251475,1.8747550274420064,11.290288621908275,0.02819074974882672,0.875,0.0,0.875,0.032217999712944825,31.038550155496196
0.1,1,mixnet_attribution,26,0.09865573023467761,0.09968701295234243,3.392889533994487,296.0879471405787,1.8706259294121992,11.987001013782614,0.029969148914574275,0.875,0.0,0.875,0.0342504559023706,29.196691654279157
0.1,1,mixnet_attribution,27,0.0974694000150184,0.09986102986190071,3.3916326394002994,292.9894120297364,1.8857774755742867,11.763912433383748,0.029481853181669446,0.875,0.0,0.875,0.03369354649333651,29.679274047265032
0.1,1,mixnet_attribution,28,0.11229495630844703,0.10022750594841225,3.388911100603208,298.6240226889468,1.8872413021163084,11.380776141952307,0.03343270742228988,0.875,0.0,0.875,0.038208808482617006,26.171975513315136
0.1,1,mixnet_attribution,29,0.09877575849745267,0.10003506740796739,3.388313705125697,296.55790434187514,1.9499988323368598,12.134104722094534,0.025923688359961963,0.875,0.0,0.875,0.0296270724113851,33.752913082823525
0.1,1,mixnet_attribution_oracle,0,0.0981719702098849,0.10015360899447001,3.3880925917526206,293.4819077710073,1.846608595107682,11.70552757356952,0.02502717354608205,0.875,0.0,0.875,0.0286024840526652,34.96199834107833
0.1,1,mixnet_attribution_oracle,1,0.09791525551290735,0.09963564103341578,3.395709231160423,293.61804771581245,1.8776894479815383,11.584093043277774,0.03306389889298308,0.875,0.0,0.875,0.03778731302055209,26.463908652518146
0.1,1,mixnet_attribution_oracle,2,0.11392594813371308,0.0992666303866144,3.3994540471696126,292.3639634237745,1.865924389072461,11.220291892888028,0.02752136820641549,0.875,0.0,0.875,0.031452992235903414,31.793477469482397
0.1,1,mixnet_attribution_oracle,3,0.10245343025897319,0.10019900974115728,3.388677936467224,295.4451764349538,1.8547842553525697,11.55558425798556,0.030223486637446572,0.875,0.0,0.875,0.034541127585653225,28.95099465181772
0.1,1,mixnet_attribution_oracle,4,0.09705307472560518,0.09961307441085201,3.3945509092058446,293.1268230341302,1.9355782388884109,12.115565669278011,0.02666141944937821,0.875,0.0,0.875,0.03047019365643224,32.818957807604896
0.1,1,mixnet_attribution_oracle,5,0.10201322115384616,0.09997528809826754,3.390373378536911,293.1349909855769,1.8817939429136459,11.740274390926418,0.03229514328434689,0.875,0.0,0.875,0.036908735182110734,27.09385718762558
0.1,1,mixnet_attribution_oracle,6,0.10542530808536218,0.10019207049795618,3.388602417049922,293.03486624586714,1.9193739511247259,11.967848183390913,0.027602899738195658,0.875,0.0,0.875,0.03154617112936647,31.699568099695487
0.1,1,mixnet_attribution_oracle,7,0.10658330822536909,0.09964127664485413,3.394510753160565,293.82042783971076,1.8611719247710425,11.561184373056527,0.028724560639115205,0.875,0.0,0.875,0.032828069301845945,30.461736595145094
