width,mix_scale,attack,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
1,1e-06,mixnet_attribution,0,0.9984087292566493,0.9977458300582764,0.004904482168737955,2946.2593771311663,0.3242783157620579,2.2905408166025634,0.03125206761432881,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17858.324351045034,5.599629508025382e-05
1,1e-06,mixnet_attribution,1,0.9965426531379181,0.9959784680174334,0.008165410991449592,2923.371739947388,0.22691082290839404,1.9172485914773747,0.032575714310212375,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18614.693891549927,5.372100158219343e-05
1,1e-06,mixnet_attribution,2,0.9974943052391799,0.9968115575718985,0.007636804710122069,2953.3657555049354,0.232350621256046,1.9152079562829893,0.02950603336625119,1.7500000000000002e-06,0.0,1.7500000000000002e-06,16860.590495000677,5.930990378400503e-05
1,1e-06,mixnet_attribution,3,0.9964168636121065,0.9960530092525487,0.008359629556468818,2964.6821681786996,0.3042895011312794,2.2011615809447003,0.0325316351854487,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18589.5058202564,5.379379149016062e-05
1,1e-06,mixnet_attribution,4,0.9966777408637874,0.9956969769172552,0.009803079873408971,2936.947070371489,0.23990750347729772,1.9395382510697425,0.03186674100671674,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18209.566289552422,5.491618988057619e-05
1,1e-06,mixnet_attribution,5,0.9971115840681058,0.9956700183968908,0.00982657807954254,2956.789829735482,0.2748994005669374,2.0826588432057003,0.03389242864285462,1.7500000000000002e-06,0.0,1.7500000000000002e-06,19367.10208163121,5.163395100542447e-05
1,1e-06,mixnet_attribution,6,0.9978552278820375,0.9969939719602455,0.006834999954073878,2978.7980850248946,0.21583454794017598,1.8679671061141632,0.03131531398804649,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17894.465136026563,5.588320144795612e-05
1,1e-06,mixnet_attribution,7,0.9971275228664298,0.996673105877957,0.007314948915332783,2939.195555219593,0.2985349766386207,2.204894084649929,0.03264291811849921,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18653.096067713832,5.361040314003821e-05
1,1e-06,mixnet_attribution,8,0.9968060836501901,0.9965802174840352,0.006887372436693102,2957.6857034220534,0.23294915922451764,1.923780488661962,0.032888014159222795,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18793.15094812731,5.3210874683026347e-05
1,1e-06,mixnet_attribution,9,0.9972110319181903,0.9966332094146498,0.00750587646119729,3012.9417415556245,0.22384755860548466,1.8938116472202655,0.031623607926396326,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18070.6331007979,5.5338404272944125e-05
1,1e-06,mixnet_attribution,10,0.9966623682014716,0.9957426361971274,0.009050265976360553,2950.048092240006,0.3164432448975276,2.2626774309198896,0.031233829685164662,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17847.902677236947,5.60289922062042e-05
1,1e-06,mixnet_attribution,11,0.9971738466238924,0.9962510728192037,0.008442989288474048,2970.2160861594866,0.24969905707985163,1.99187607989729,0.03189766633745111,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18227.237907114915,5.486294769925918e-05
1,1e-06,mixnet_attribution,12,0.997112242571624,0.9962528047405947,0.008555882681176224,2956.045368189072,0.19529348297510296,1.7647430888329554,0.032970846775497165,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18840.483871712662,5.307719307047164e-05
1,1e-06,mixnet_attribution,13,0.9967399545109932,0.9960859093042822,0.008598250122799918,2949.049279757392,0.18874761229380965,1.7582847898406944,0.030155789546202943,1.7500000000000002e-06,0.0,1.7500000000000002e-06,17231.879740687393,5.803197416929682e-05
1,1e-06,mixnet_attribution,14,0.996984318455971,0.9964192700928444,0.007575894626164714,2932.9062876960193,0.21212827306590043,1.8479217725221868,0.03254662965341325,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18598.07408766471,5.3769008300878654e-05
1,1e-06,mixnet_attribution,15,0.9972305561966305,0.996104653931237,0.008905902918738526,2991.9497653665667,0.2616631724231411,2.023268020006739,0.031575468576023,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18043.12490058457,5.542277213674897e-05
1,1e-06,mixnet_attribution,16,0.9979323020370654,0.996707500447628,0.007644474671580805,2978.508730280288,0.2274400911119301,1.90192811689012,0.03377723375067381,1.7500000000000002e-06,0.0,1.7500000000000002e-06,19301.276428956462,5.1810044982297875e-05
1,1e-06,mixnet_attribution,17,0.9969772128352193,0.9964085247889807,0.007476123364478774,3015.03270810727,0.23721949916216545,1.9457188660432505,0.03258794311883999,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18621.681782194275,5.370084247472118e-05
1,1e-06,mixnet_attribution,18,0.9971475754391232,0.9956758832765573,0.00931526609614337,2920.0634289145773,0.24701129292952828,1.9946790046497296,0.03161493809549151,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18065.678911709434,5.535357983982771e-05
1,1e-06,mixnet_attribution,19,0.9973767051416579,0.996026305795582,0.009122728913573965,2914.6007345225603,0.3010621035355143,2.1891108370686556,0.035042598988443516,1.7500000000000002e-06,0.0,1.7500000000000002e-06,20024.342279110577,4.99392182805026e-05
1,1e-06,mixnet_attribution,20,0.9963478657840675,0.9959107420917157,0.008759548714673701,2958.9735220269345,0.18455089171766303,1.73179029778788,0.03234124252149242,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18480.71001228138,5.411047515682291e-05
1,1e-06,mixnet_attribution,21,0.9973180076628353,0.9963858814747757,0.008140325303743659,2980.2867432950193,0.2493359069339931,1.9823695769122183,0.03521740214936347,1.7500000000000002e-06,0.0,1.7500000000000002e-06,20124.229799636265,4.969134272249637e-05
1,1e-06,mixnet_attribution,22,0.9970534904805077,0.9965985770896107,0.007021827372798865,2938.1976427923846,0.22702684640535153,1.879881256137287,0.031639339942700045,1.7500000000000002e-06,0.0,1.7500000000000002e-06,18079.622824400023,5.5310888380393254e-05
