mix_scale,attack,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,eta,inv_eta
0.0001,mixnet_attribution,0,0.8777292576419214,0.8427046296655093,0.36358279217735684,566.938864628821,0.2504198007809464,1.996603715033563,0.031121182208483183,0.00017500000000000003,177.83532690561816,0.0056231796988835975
0.0001,mixnet_attribution,1,0.9108888554669875,0.8848194097980104,0.2613537385037784,556.512107083772,0.24087515790597536,1.9736970519045827,0.031458197152078406,0.00017500000000000003,179.76112658330516,0.0055629379889126284
0.0001,mixnet_attribution,2,0.9135229692728932,0.8890685368426514,0.25412514650839296,562.849710982659,0.28044809828861617,2.1046595420777106,0.028270555821084217,0.00017500000000000003,161.54603326333836,0.0061901860404698795
0.0001,mixnet_attribution,3,0.8922972051806408,0.865141506120619,0.30575080142543065,560.5092024539878,0.2422820421634242,1.9563914618072038,0.03129476280730564,0.00017500000000000003,178.8272160417465,0.005591989978564303
0.0001,mixnet_attribution,4,0.9043186326873188,0.8805304179382306,0.2683374486185558,564.6502365328857,0.30045514565426856,2.1766580785566347,0.03129399131946792,0.00017500000000000003,178.82280753981664,0.005592127837369627
0.0001,mixnet_attribution,5,0.8984655317199787,0.8750840823390604,0.27566463156511584,564.9514466753187,0.25533915497362614,2.0056231246002785,0.03212065693657727,0.00017500000000000003,183.5466110661558,0.005448207374635587
0.0001,mixnet_attribution,6,0.8784708868548573,0.840702479350376,0.37051327647383603,569.2024459656949,0.2428303232009057,1.976529174392771,0.030705292353487446,0.00017500000000000003,175.45881344849965,0.0056993432267426
0.0001,mixnet_attribution,7,0.8771607771148845,0.840961028885438,0.36812877252903714,566.0298301973382,0.2457309782039374,1.9917759231661893,0.034216703281571455,0.00017500000000000003,195.52401875183685,0.005114461161261322
0.0001,mixnet_attribution,8,0.9118137700940249,0.8850116605724563,0.2644948442829912,561.1455868971792,0.24591489825979806,1.975197273258857,0.03071216280428331,0.00017500000000000003,175.4980731673332,0.005698068257686932
0.0001,mixnet_attribution,9,0.9121580079926221,0.8891004600068365,0.25040654863396433,568.7221026744544,0.2655245466157794,2.0602256904947502,0.030723183781839834,0.00017500000000000003,175.56105018194188,0.005696024254603482
0.0001,mixnet_attribution,10,0.8951802656546489,0.8651844544698885,0.3066440069419797,561.6982922201139,0.24785129283554852,1.9889806110069022,0.029560785446364597,0.00017500000000000003,168.91877397922624,0.005920005079618804
0.0001,mixnet_attribution,11,0.8701912089586349,0.8326002415128345,0.3875732023861248,563.7485335567914,0.2289629163860809,1.9095061975914926,0.030816662745428734,0.00017500000000000003,176.09521568816416,0.005678745990299001
0.0001,mixnet_attribution,12,0.8950528155634927,0.8622386110093168,0.3189399725376716,562.3800440762976,0.2180187666672282,1.8537322521197641,0.030576917557061958,0.00017500000000000003,174.72524318321115,0.005723271473438058
0.0001,mixnet_attribution,13,0.888335220838052,0.8579895199614942,0.3246407081746761,558.7349943374859,0.2390262909757439,1.9602770526008242,0.03137303749295779,0.00017500000000000003,179.2744999597588,0.005578038149454981
0.0001,mixnet_attribution,14,0.874735089312746,0.8431163279901774,0.3613757559226227,560.1280653950954,0.22030667815124616,1.8806125950897965,0.031284893342783344,0.00017500000000000003,178.77081910161908,0.005593754087078204
0.0001,mixnet_attribution,15,0.8910144043899093,0.8595075645545386,0.3214838127941491,564.0058684551483,0.25000318957609124,1.9776701337978273,0.03163028511474909,0.00017500000000000003,180.7444863699948,0.005532672227427951
0.0001,mixnet_attribution,16,0.9067573836400186,0.8800403514495027,0.27651614556818677,572.1458172259162,0.2444635632855352,1.969435776271574,0.032715256359032635,0.00017500000000000003,186.94432205161502,0.005349186265865307
0.0001,mixnet_attribution,17,0.8946799474944019,0.8668211452475046,0.30499682353718216,571.3961084086171,0.24665634636767209,1.9833405812468317,0.03019140217548566,0.00017500000000000003,172.5222981456323,0.005796352186056923
0.0001,mixnet_attribution,18,0.9155252888514807,0.8931742359344347,0.2421079218242396,566.2460019894406,0.2564531955285929,2.0327001905147686,0.030280689821197963,0.00017500000000000003,173.03251326398833,0.005779260678450313
0.0001,mixnet_attribution,19,0.9170653907496013,0.8963811261811918,0.2339708245619944,562.038961038961,0.2677026880264748,2.0573505057807435,0.031027475055296468,0.00017500000000000003,177.29985745883693,0.005640162458856834
0.0001,mixnet_attribution,20,0.9178743961352657,0.8933150735606644,0.24372416593185445,567.4596273291926,0.24230722460197285,1.960808557451482,0.032236361877650145,0.00017500000000000003,184.2077821580008,0.005428652298426071
0.0001,mixnet_attribution,21,0.890961262553802,0.8600856584805752,0.3197394854279764,558.8192252510761,0.22325806779554114,1.879624344120666,0.03396288927628865,0.00017500000000000003,194.07365300736367,0.005152682935081648
0.0001,mixnet_attribution,22,0.8942903003898188,0.8659897282501458,0.3119768759884001,565.641137353818,0.25809919225866906,2.0003074309859405,0.02943013424031541,0.00017500000000000003,168.17219565894518,0.005946286162713898
0.0001,mixnet_attribution,23,0.8998931786967801,0.8694680143108239,0.29702611687210334,564.6502365328857,0.26278566403198056,2.0420770913632347,0.033343370465324644,0.00017500000000000003,190.5335455161408,0.005248419627583566
