width,hops,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
1,1,0,0.9767103347889374,0.9687083324958448,0.07231669344736714,566.938864628821,0.12566809079726227,1.5001253325781572,0.029824393004045435,0.00010307764064044152,0.0,0.00010307764064044152,289.33911194261583,0.003456152171360533
1,1,1,0.9772146187396601,0.9690803676967883,0.0691439618881053,556.512107083772,0.12771265019546263,1.5162567699687157,0.03083763315242684,0.00010307764064044152,0.0,0.00010307764064044152,299.16898525059946,0.003342592478837163
1,1,2,0.9759659263766353,0.9671955048445755,0.0755197007816852,562.849710982659,0.12550200731493533,1.4943409877847527,0.02861666895872985,0.00010307764064044152,0.0,0.00010307764064044152,277.62246769453486,0.003602013944708141
1,1,3,0.9718245853215178,0.9625648475555962,0.08608216482946612,560.5092024539878,0.12406593616469763,1.4897416291753012,0.03086340217019357,0.00010307764064044152,0.0,0.00010307764064044152,299.41898144382446,0.0033398016223885095
1,1,4,0.9735998779185107,0.9655684915413607,0.07747704516822132,564.6502365328857,0.125884449807927,1.4929952339761172,0.030568693207351873,0.00010307764064044152,0.0,0.00010307764064044152,296.5598845435597,0.003372000233744078
1,1,5,0.9761813878922055,0.9636940303116318,0.08273590656688719,564.9514466753187,0.12808455020422116,1.5044458833690992,0.031516679334403365,0.00010307764064044152,0.0,0.00010307764064044152,305.7567008575679,0.003270574274235889
1,1,6,0.9809245442658258,0.9739155715242448,0.06043108954956501,569.2024459656949,0.12552234885515645,1.5047814213629072,0.031001888938065863,0.00010307764064044152,0.0,0.00010307764064044152,300.76250043603125,0.0033248825852632805
1,1,7,0.9765182805568303,0.968258570426548,0.07231828748702945,566.0298301973382,0.12890899428748526,1.5202796885779344,0.031028441249973244,0.00010307764064044152,0.0,0.00010307764064044152,301.0200956986159,0.0033220373466401705
1,1,8,0.9762663026994237,0.9674888311764845,0.07511171367721449,561.1455868971792,0.12617051030974835,1.500340314842404,0.031052284272110046,0.00010307764064044152,0.0,0.00010307764064044152,301.251406989684,0.0033194865710095877
1,1,9,0.9788656624654165,0.9696827145902503,0.07070671213215067,568.7221026744544,0.1250621307408437,1.4993665768736728,0.030787315866928986,0.00010307764064044152,0.0,0.00010307764064044152,298.6808358790653,0.0033480554487429386
1,1,10,0.9750284629981024,0.9679536466887365,0.07077276486905716,561.6982922201139,0.1257630526961293,1.5018219565230857,0.030099427646158396,0.00010307764064044152,0.0,0.00010307764064044152,292.00733989587627,0.0034245714520620583
1,1,11,0.9764607297935552,0.9656586098180172,0.07814623568734838,563.7485335567914,0.12416030871099792,1.4932002616402318,0.030299754918602564,0.00010307764064044152,0.0,0.00010307764064044152,293.9507999052391,0.0034019298478601525
1,1,12,0.9775058895052816,0.9685080570904953,0.07382634425107036,562.3800440762976,0.12622861075215042,1.4942943113877423,0.031182085205291907,0.00010307764064044152,0.0,0.00010307764064044152,302.5106610080665,0.003305668622281496
1,1,13,0.9768969422423556,0.9686442627255006,0.07288241161174719,558.7349943374859,0.12503950754762627,1.5023404299014032,0.028817294911647175,0.00010307764064044152,0.0,0.00010307764064044152,279.56882533010736,0.003576936730407
1,1,14,0.977217680896155,0.9679668601616285,0.07671192150120389,560.1280653950954,0.12559673344367184,1.5020368256685444,0.030629883448222275,0.00010307764064044152,0.0,0.00010307764064044152,297.15351707618476,0.0033652638872977507
1,1,15,0.9750781190458044,0.9652490543716347,0.0778151453155991,564.0058684551483,0.12579953306703828,1.491955508783307,0.029973546666814663,0.00010307764064044152,0.0,0.00010307764064044152,290.78611501566354,0.0034389537476579093
1,1,16,0.9777331065409,0.9698870357724584,0.06781639358744458,572.1458172259162,0.12889308130252175,1.511133694728153,0.03239195533889449,0.00010307764064044152,0.0,0.00010307764064044152,314.2481253707103,0.0031821987762705862
1,1,17,0.9779939772990502,0.9684164575014869,0.07357176109796597,571.3961084086171,0.12607724373810925,1.5026299625578163,0.031005034476570693,0.00010307764064044152,0.0,0.00010307764064044152,300.793016641925,0.003324545267586569
1,1,18,0.9748259239421532,0.9644312537887849,0.08181166070544912,566.2460019894406,0.12518350876052864,1.5040960128410317,0.02989401534602971,0.00010307764064044152,0.0,0.00010307764064044152,290.0145478718018,0.003448102887728379
1,1,19,0.9716716032505506,0.9642677673995087,0.08241720242543626,562.038961038961,0.12536554990219884,1.4951587470928263,0.03296272842604439,0.00010307764064044152,0.0,0.00010307764064044152,319.785437668543,0.003127096741148351
1,1,20,0.9726247987117552,0.9635281153460439,0.08510571984750681,567.4596273291926,0.12458579486701638,1.494013738309929,0.030763614864268884,0.00010307764064044152,0.0,0.00010307764064044152,298.45090237929907,0.0033506348683412833
1,1,21,0.9756852676885902,0.9669749737981956,0.07467167332366702,558.8192252510761,0.1287534190050792,1.5072812949781247,0.03314816022400358,0.00010307764064044152,0.0,0.00010307764064044152,321.58439034932877,0.003109603668616272
1,1,22,0.9701903233203394,0.9708967719729088,0.06370366935025842,565.641137353818,0.1243428988091182,1.4819121074367332,0.030096658459552682,0.00010307764064044152,0.0,0.00010307764064044152,291.9804748397059,0.003424886546091786
1,1,23,0.973676178849382,0.9644978375417083,0.08110269526273924,564.6502365328857,0.12768479390069842,1.5063343129066624,0.031469971268256305,0.00010307764064044152,0.0,0.00010307764064044152,305.30356605687933,0.0032754284953674466
1,1,24,0.9746964355660008,0.9653003601356692,0.08121460396560039,579.7074030552292,0.12499233745620586,1.5012780756189632,0.030965778794226444,0.00010307764064044152,0.0,0.00010307764064044152,300.41218058378143,0.0033287598327628788
1,1,25,0.9717432586403342,0.9640226647448237,0.08125630341729788,562.1241929358147,0.1256147495296318,1.4967558815459658,0.029952011148379365,0.00010307764064044152,0.0,0.00010307764064044152,290.57718979869605,0.0034414263579765933
1,1,26,0.97333633768965,0.9650433012245975,0.07878142444185178,555.8445245606129,0.12679682299494743,1.507950753888966,0.030506028275041334,0.00010307764064044152,0.0,0.00010307764064044152,295.9519454025278,0.003378926935722243
1,1,27,0.9740358915616648,0.9664469198869897,0.07695825578961693,565.1237113402062,0.1256750050233677,1.4944607483815258,0.028131509370428347,0.00010307764064044152,0.0,0.00010307764064044152,272.91572833489187,0.0036641347352942264
1,1,28,0.9753638568829593,0.9674187370487725,0.07404786174988945,560.9757428744693,0.12881558685330674,1.50678231617312,0.033257232042888156,0.00010307764064044152,0.0,0.00010307764064044152,322.6425424200096,0.003099405281459195
1,1,29,0.975215354390207,0.9655620336228693,0.0804482298040589,559.1985794166541,0.12428732411353849,1.4945562304750084,0.030179653558077498,0.00010307764064044152,0.0,0.00010307764064044152,292.7856455635326,0.0034154679887918424
1,2,0,0.9588014981273408,0.9478517955667258,0.11625794131623027,565.641137353818,0.16518705038470216,1.656844631835723,0.03181256314140964,0.00014361406616345072,0.0,0.00014361406616345072,221.51425686396888,0.0045143821176895915
1,2,1,0.9584447330226873,0.9472170916535183,0.1181504042474783,565.2960812772134,0.23181823870982043,1.9324009792246133,0.034490410945329536,0.00014361406616345072,0.0,0.00014361406616345072,240.1603956124684,0.00416388388039482
1,2,2,0.9722158788155592,0.9638396536606515,0.08513165919183109,563.3201644211007,0.19805064870161004,1.7864595396402878,0.029718659283786236,0.00014361406616345072,0.0,0.00014361406616345072,206.93418185070183,0.004832454411622902
1,2,3,0.95864262990456,0.9456126278634194,0.12115981225735221,560.5515830934706,0.16458855391829275,1.6661285055727773,0.03238059691490043,0.00014361406616345072,0.0,0.00014361406616345072,225.46953637568672,0.00443518896643207
1,2,4,0.9609238924649753,0.9469956255578413,0.1210572996357976,560.4244604316547,0.18320784013485536,1.723652553469834,0.03052881569551209,0.00014361406616345072,0.0,0.00014361406616345072,212.57538701513047,0.004704213474765181
1,2,5,0.9620224204987418,0.950735789401363,0.1086805090972883,564.3493479752917,0.15615722289658152,1.6139257685421176,0.0330769484930004,0.00014361406616345072,0.0,0.00014361406616345072,230.31830639315447,0.004341817268719383
1,2,6,0.9646860125902043,0.9515751990369217,0.10876283299184335,568.1119299861815,0.20312134292908013,1.80603265418768,0.03160166808832846,0.00014361406616345072,0.0,0.00014361406616345072,220.0457722042479,0.004544509035473736
1,2,7,0.9580719204284621,0.946603317978179,0.11781954029784884,566.2027543993879,0.17233656442840584,1.681415815040129,0.02972421541260313,0.00014361406616345072,0.0,0.00014361406616345072,206.97286976592716,0.0048315511164865954
1,2,8,0.9604818907305095,0.9488143419592256,0.11459817461255617,567.8508287292817,0.1575534258154221,1.6174052529166916,0.031209749560232494,0.00014361406616345072,0.0,0.00014361406616345072,217.31680185638575,0.004601577013179367
1,2,9,0.9580929243850592,0.9444020124832571,0.1282153798384809,561.8259945338597,0.16063803803990595,1.641812171747822,0.03152518548240511,0.00014361406616345072,0.0,0.00014361406616345072,219.5132156938271,0.004555534375637689
1,2,10,0.9582800871983763,0.9467897684559687,0.11804281217419951,556.3033150417199,0.19254324756911956,1.7656017302707827,0.03285234157737051,0.00014361406616345072,0.0,0.00014361406616345072,228.75434457778286,0.004371501672878489
1,2,11,0.9611208140329562,0.9504341435854271,0.11345139485844655,561.953755030754,0.22311845046351664,1.8834354311985222,0.030690428708936363,0.00014361406616345072,0.0,0.00014361406616345072,213.70071559708384,0.00467944151336125
1,2,12,0.9608640024083691,0.9481739387945572,0.11661852933108202,556.9720027094152,0.15946420171530917,1.6324651937431107,0.031295826965751034,0.00014361406616345072,0.0,0.00014361406616345072,217.91616797572237,0.004588920635349132
1,2,13,0.9564146003388264,0.9439619745613446,0.12588724894016362,569.8587709841368,0.20847970366594382,1.8235644155142987,0.030963321137592276,0.00014361406616345072,0.0,0.00014361406616345072,215.600894569423,0.004638199679074162
1,2,14,0.9589759173440705,0.946592481330367,0.12092414188434711,562.2094507331155,0.1658246614097152,1.6531407681246049,0.032681739483672125,0.00014361406616345072,0.0,0.00014361406616345072,227.56642407489687,0.004394321368212382
1,2,15,0.9529492770254763,0.9400737306360634,0.13306043686554708,566.1595134266697,0.16279397803009488,1.6490929659057145,0.03250378396563051,0.00014361406616345072,0.0,0.00014361406616345072,226.3273008970942,0.004418379912791329
1,2,16,0.9603694874851013,0.9480016644124247,0.11630912417013252,551.2979737783076,0.18653015501331538,1.7580936212289093,0.02953562738489257,0.00014361406616345072,0.0,0.00014361406616345072,205.65971129372065,0.0048624010687820735
1,2,17,0.9621328029375765,0.9497099970628479,0.11298571694689127,566.1162790697674,0.25652301037916914,2.023851001806019,0.030591009129119964,0.00014361406616345072,0.0,0.00014361406616345072,213.00844650066227,0.004694649514740679
1,2,18,0.9624981097837593,0.948837415006585,0.11658637938464035,559.5362165431725,0.17365698231151327,1.6911778435712033,0.028029141925775023,0.00014361406616345072,0.0,0.00014361406616345072,195.1698929955396,0.005123741088605576
1,2,19,0.9612472828123829,0.9471628496863762,0.11973079734027076,554.7216100742073,0.25437515703379177,2.0000721089150186,0.030615505172797604,0.00014361406616345072,0.0,0.00014361406616345072,213.17901505520595,0.004690893237033837
1,2,20,0.9601435728707096,0.9487934473051287,0.11324279015016091,553.3966200553353,0.16502888250397518,1.655667683442155,0.03470010718251883,0.00014361406616345072,0.0,0.00014361406616345072,241.62053278977407,0.004138721111380325
1,2,21,0.9569334147831399,0.9475757785333927,0.11536720293053997,565.0806353084912,0.17318268094095401,1.6821218435851994,0.03200893680443519,0.00014361406616345072,0.0,0.00014361406616345072,222.8816275420057,0.004486686547600401
1,2,22,0.9675950929712214,0.9564195653352023,0.09853154812449268,570.9560219118895,0.16657467806362547,1.660525975391824,0.032909696839741834,0.00014361406616345072,0.0,0.00014361406616345072,229.1537153629958,0.004363882987521842
1,2,23,0.9580451470700008,0.9462392221892296,0.11981973106070805,562.4653796458159,0.17162705704686232,1.685615777933894,0.032235495913224284,0.00014361406616345072,0.0,0.00014361406616345072,224.4591826857424,0.004455152995010526
1,2,24,0.9677787065886465,0.9574153541334665,0.09609658798573173,562.3800440762976,0.19653143372852355,1.7921827376725417,0.031581920164054686,0.00014361406616345072,0.0,0.00014361406616345072,219.9082653095451,0.004547350680941391
1,2,25,0.9615148256260563,0.9499379219471616,0.1151794092047913,568.4604393916117,0.20356066021486185,1.8204159163556817,0.03231878687577144,0.00014361406616345072,0.0,0.00014361406616345072,225.0391465066425,0.0044436713146282876
1,2,26,0.9425462293584963,0.9406618164387993,0.12362322696173836,563.1489993151206,0.1658173561154399,1.6577015629495673,0.030803427340864456,0.00014361406616345072,0.0,0.00014361406616345072,214.48753707597356,0.004662275550517373
1,2,27,0.9626189923380544,0.9495490682595913,0.11447969143412826,572.7204550731368,0.1501392067875713,1.5925730452516418,0.03458004325891828,0.00014361406616345072,0.0,0.00014361406616345072,240.78451493436498,0.0041530909920539875
1,2,28,0.9608511282750265,0.9507214464040035,0.1098633838060528,560.3820990458883,0.26843486790312454,2.074874021882589,0.03306044631398066,0.00014361406616345072,0.0,0.00014361406616345072,230.20339996747776,0.004343984494326652
1,2,29,0.9555063725864306,0.9446567164587356,0.12154652876833082,564.7792871861406,0.18384123194846325,1.735742761252765,0.029859515641298566,0.00014361406616345072,0.0,0.00014361406616345072,207.91497963239,0.004809658264008098
1,3,0,0.950566037735849,0.9337851635198291,0.15134850223378155,558.5245283018868,0.22745208625565283,1.9094543499950616,0.03152562356589478,0.00017500000000000003,0.0,0.00017500000000000003,180.14642037654156,0.005551040081228384
1,3,1,0.9528971677227269,0.9407226113995925,0.13366115727087294,564.9514466753187,0.23106820436078124,1.9331233170879218,0.029321788066008485,0.00017500000000000003,0.0,0.00017500000000000003,167.5530746629056,0.0059682581296217115
1,3,2,0.9431826813520698,0.9321461495106569,0.14737974459055483,562.1241929358147,0.2730585010431241,2.08791744058611,0.029828991301032972,0.00017500000000000003,0.0,0.00017500000000000003,170.45137886304553,0.005866775655733951
1,3,3,0.9441489361702128,0.9308100385346149,0.15307626185441245,562.3373860182371,0.19769977222313173,1.7926374770353484,0.029745090362583514,0.00017500000000000003,0.0,0.00017500000000000003,169.97194492904862,0.005883323865108621
1,3,4,0.9486929086538461,0.9339935659174363,0.14743029488324744,555.9278846153846,0.3483219840854872,2.4030358659540205,0.03176136714402207,0.00017500000000000003,0.0,0.00017500000000000003,181.49352653726896,0.005509838389716088
