attack,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
mixnet_attribution,0,0.003920362825736029,0.0033421045057881855,8.2290906669882,8966.332615881312,1.8880202634609304,7.497555923163986,0.034137497452589746,0.875,0.0,0.875,0.03901428280295971,25.631638675775882
mixnet_attribution,1,0.0027063599458728013,0.0033437725059028006,8.228182307475455,8770.235378138626,1.8974117174220737,7.682031544674135,0.034146836929402125,0.875,0.0,0.875,0.039024956490745284,25.624628184714275
mixnet_attribution,2,0.0036991368680641184,0.003346410881926334,8.227636770385345,8989.878853267572,1.8742855206946842,7.559306132383517,0.03303709384318143,0.875,0.0,0.875,0.03775667867792164,26.485380468191284
mixnet_attribution,3,0.0033235430514762716,0.003343934792814022,8.22856438176343,9017.372314113465,1.867127439007163,7.55001280257751,0.03231006088698697,0.875,0.0,0.875,0.036925783870842256,27.081347913906605
mixnet_attribution,4,0.004871468185565465,0.0033409656051393956,8.229204797184988,8742.168627744884,1.880325440899469,7.558963782938149,0.031668468329333274,0.875,0.0,0.875,0.03619253523352374,27.630006948884276
mixnet_attribution,5,0.0033957138545125266,0.0033454039239324018,8.227390362722236,8802.259885300333,1.8737465527374297,7.619781294874211,0.03185515889258738,0.875,0.0,0.875,0.036405895877242724,27.468078340165192
mixnet_attribution,6,0.003274693473459752,0.003347654995722516,8.227583865083439,8884.825603533624,1.8586831118445843,7.441614451455806,0.032449975215234385,0.875,0.0,0.875,0.037085685960267865,26.964581457960904
mixnet_attribution,7,0.0038557496030845995,0.0033432218926000754,8.228872470688259,8819.759885083542,1.8710324748244602,7.521440229712121,0.033196179813630024,0.875,0.0,0.875,0.03793849121557717,26.358454644854454
mixnet_attribution,8,0.003530383835348907,0.003343283763343114,8.228022905698493,8763.157515210696,1.8908730660623405,7.655768193471034,0.03177617490550877,0.875,0.0,0.875,0.036315628463438596,27.536353969662617
mixnet_attribution,9,0.003721424774056353,0.0033449171217033355,8.22872782670484,8860.590795169743,1.8698832376103383,7.462978403210971,0.03249132931617071,0.875,0.0,0.875,0.03713294778990938,26.930261654899994
mixnet_attribution,10,0.002599388379204893,0.003345082651524455,8.228137090151478,8918.832339449542,1.870886619668454,7.503563971416841,0.033888357815236886,0.875,0.0,0.875,0.03872955178884215,25.820076758236496
mixnet_attribution,11,0.00352031835922553,0.003345037642134147,8.227714629363945,8927.351955307262,1.8789200199826155,7.497182192429863,0.03204447177448147,0.875,0.0,0.875,0.03662225345655025,27.305801954170576
mixnet_attribution,12,0.00369811320754717,0.0033479610630931787,8.227638784186874,8804.105811320755,1.8840853618748952,7.618131515541796,0.0336318571403733,0.875,0.0,0.875,0.03843640816042663,26.016999190615852
mixnet_attribution,13,0.0056947608200455585,0.0033458901252504452,8.229237301042074,8857.322323462415,1.897929984057555,7.653338526055692,0.03226689564258211,0.875,0.0,0.875,0.03687645216295098,27.117576158931026
mixnet_attribution,14,0.003779003854583932,0.0033424540884356715,8.228903471587936,8816.468218577584,1.8993896960746497,7.626785472050456,0.03368837344378493,0.875,0.0,0.875,0.0385009982214685,25.973352541347648
mixnet_attribution,15,0.0040980437640145365,0.003340936978569329,8.229628998704591,9019.775535451945,1.8894573792058509,7.598239918014713,0.0314013979529968,0.875,0.0,0.875,0.03588731194628205,27.865001466168618
mixnet_attribution,16,0.0037794060933281914,0.0033450920702664537,8.228866068405155,8997.373158503664,1.87478032472427,7.541916812747455,0.032062779213620836,0.875,0.0,0.875,0.0366431762441381,27.29021068854457
mixnet_attribution,17,0.003772713273791192,0.0033421918643317373,8.228934266443925,8981.351940252542,1.8735374824900646,7.5914872149835455,0.03174801158614643,0.875,0.0,0.875,0.03628344181273878,27.56078117288502
mixnet_attribution,18,0.004648721601559571,0.003343100573010916,8.228364403187157,8746.33665741921,1.8835938428819645,7.6798000977638425,0.03143939482745125,0.875,0.0,0.875,0.03593073694565857,27.831324515063354
mixnet_attribution,19,0.002387347060578932,0.003344592207581912,8.228482283722602,8703.042673828708,1.8635584055446088,7.488276343355062,0.03241042838194067,0.875,0.0,0.875,0.03704048957936077,26.997483331246446
mixnet_attribution,20,0.0035381893700484578,0.0033441789844516506,8.228546381288819,8972.793323590493,1.8812560124788433,7.654351242029776,0.0338722109995346,0.875,0.0,0.875,0.0387110982851824,25.832385137540104
mixnet_attribution,21,0.0031259530344617263,0.003341417692329103,8.229956282334173,8894.533089356511,1.862867142772302,7.435325249841038,0.03380298133854154,0.875,0.0,0.875,0.0386319786726189,25.885290745119605
mixnet_attribution,22,0.0026348419094854307,0.0033442950746761543,8.227680286993655,9039.68304401736,1.896062776533654,7.578944058204614,0.033329793713057415,0.875,0.0,0.875,0.03809119281492276,26.252787746994258
mixnet_attribution,23,0.004025826053930878,0.003348471783828223,8.227192189298298,8861.185415875427,1.9087242526002228,7.66128018293753,0.03350271954491896,0.875,0.0,0.875,0.038288822337050235,26.117282772428037
mixnet_attribution,24,0.0038443795171459326,0.0033467374959731087,8.227997857938638,8969.450253729048,1.8785948949225713,7.585908358943045,0.03327228865333015,0.875,0.0,0.875,0.03802547274666303,26.29816088447595
mixnet_attribution,25,0.004035942735303076,0.003343574761177097,8.22853402532157,8883.179409077064,1.862036180391442,7.5040741068468115,0.03223608499844283,0.875,0.0,0.875,0.03684123999822037,27.143494628527847
mixnet_attribution,26,0.0034431137724550897,0.00334404022602557,8.228718732432732,8732.269685628742,1.8694146312773228,7.558740247699441,0.033168704489079104,0.875,0.0,0.875,0.03790709084466183,26.380288693159432
mixnet_attribution,27,0.002757141763038983,0.0033411252097513174,8.228148018609994,8933.800490158535,1.8505725995928515,7.421350432186596,0.03381749838879666,0.875,0.0,0.875,0.03864856958719619,25.874178803535543
mixnet_attribution,28,0.00300187617260788,0.003342776253936744,8.229503619494388,8753.68765478424,1.8860605855297763,7.631159610331521,0.03292444213359399,0.875,0.0,0.875,0.03762793386696456,26.576000785362012
mixnet_attribution,29,0.003938797151946675,0.0033469018153745684,8.227477026137521,8834.84017573095,1.8722502911405172,7.600079861021582,0.03249724103435119,0.875,0.0,0.875,0.0371397040392585,26.925362650788777
mixnet_attribution_oracle,0,0.013041839427063702,0.013350628626626051,6.237365388210342,8792.742103279306,1.8826431447232608,7.441091027715828,0.032788253482945985,0.875,0.0,0.875,0.037472289694795415,26.686386344277533
mixnet_attribution_oracle,1,0.013690295101916642,0.013374036442519943,6.234922165709542,8872.404700334651,1.876512671355158,7.58810236051776,0.03375236801158202,0.875,0.0,0.875,0.03857413487037945,25.924107004869896
mixnet_attribution_oracle,2,0.013780120481927711,0.013369488830764123,6.235450518883672,8782.76875,1.8792982406157535,7.624881590508258,0.032439265273965553,0.875,0.0,0.875,0.037073446027389205,26.973483912480585
mixnet_attribution_oracle,3,0.013594012524820528,0.013354403796742754,6.236520515693227,8909.206354055292,1.8768641120404936,7.5559182073759885,0.03328043427157341,0.875,0.0,0.875,0.03803478202465532,26.291724226308673
mixnet_attribution_oracle,4,0.015107584312528613,0.013375869178914753,6.235563822205813,8900.642301236076,1.863678861525841,7.436261242701002,0.03262885147155629,0.875,0.0,0.875,0.0372901159674929,26.816757579186266
mixnet_attribution_oracle,5,0.012875209507847022,0.013355804050104322,6.236401829473125,8887.84191680634,1.864688514440786,7.506348187253928,0.033086778906717865,0.875,0.0,0.875,0.03781346160767756,26.445608454872648
mixnet_attribution_oracle,6,0.012689969604863223,0.013379816311509205,6.233877666050852,8863.427127659574,1.878627988829976,7.5673970979921705,0.03306596771818358,0.875,0.0,0.875,0.0377896773922098,26.46225289571131
mixnet_attribution_oracle,7,0.01498751040799334,0.013379175853535649,6.234236847105016,8829.660131708424,1.8917345640948042,7.632617966384061,0.03451834450476992,0.875,0.0,0.875,0.039449536576879905,25.348840234185857
mixnet_attribution_oracle,8,0.012499058805812814,0.013381664214390325,6.233639696104571,8784.585422784428,1.8641549150052015,7.501910731881479,0.03337268003601117,0.875,0.0,0.875,0.03814020575544134,26.219051003869673
mixnet_attribution_oracle,9,0.015271276187552758,0.013360968956582885,6.236621020668643,8951.928017803699,1.8925159116624855,7.588457871253596,0.03388564196271404,0.875,0.0,0.875,0.03872644795738748,25.82214617515004
mixnet_attribution_oracle,10,0.012554211367267747,0.013370087906178356,6.235574876763423,8875.421745415812,1.8942528504121583,7.636973464654662,0.03396601876707516,0.875,0.0,0.875,0.03881830716237161,25.761040939192384
